GUID 3b7d28f6e2ef459e8bffbdc4eff0aef2
Type Barricade
Rarity Uncommon
Useable Barricade
Build Barricade
ID 37713

Size_X 3
Size_Y 2
Use_Auto_Icon_Measurements true

Health 100
Range 4
Radius 0.0
Offset 0.25

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 37704
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 1094 
Blueprint_0_Supply_1_Amount 3
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 37713 
Blueprint_0_Output_0_Amount 1
Blueprint_0_Level 1
Blueprint_0_Skill Craft
Blueprint_0_Build 27
