GUID 042929c2998d48a6accbdb501cefbbac
Type Spawn
ID 62400

Roots 11
Root_0_Spawn_ID 296
Root_0_Override
Root_0_Weight 1000
Root_1_Spawn_ID 497
Root_1_Override
Root_1_Weight 1000
Root_2_Spawn_ID 735
Root_2_Override
Root_2_Weight 1000
Root_3_Spawn_ID 597
Root_3_Override
Root_3_Weight 1000
Root_4_Spawn_ID 596
Root_4_Override
Root_4_Weight 1000
Root_5_Spawn_ID 734
Root_5_Override
Root_5_Weight 1000
Root_6_Spawn_ID 5025
Root_6_Override
Root_6_Weight 1000
Root_7_Spawn_ID 5002
Root_7_Override
Root_7_Weight 1000
Root_8_Spawn_ID 5001
Root_8_Override
Root_8_Weight 1000
Root_9_Spawn_ID 5000
Root_9_Override
Root_9_Weight 1000
Root_10_Spawn_ID 2037
Root_10_Override
Root_10_Weight 1000

Tables 281
//Sl63
Table_0_Asset_ID 62400
Table_0_Weight 4
Table_1_Asset_ID 62401
Table_1_Weight 4
Table_2_Asset_ID 62402
Table_2_Weight 4
Table_3_Asset_ID 62403
Table_3_Weight 4
Table_4_Asset_ID 62404
Table_4_Weight 4
Table_5_Asset_ID 62405
Table_5_Weight 4
Table_6_Asset_ID 62406
Table_6_Weight 4
Table_7_Asset_ID 62407
Table_7_Weight 4
//M240i
Table_8_Asset_ID 62410
Table_8_Weight 5
Table_9_Asset_ID 62411
Table_9_Weight 5
Table_10_Asset_ID 62412
Table_10_Weight 5
Table_11_Asset_ID 62413
Table_11_Weight 5
Table_12_Asset_ID 62414
Table_12_Weight 5
Table_13_Asset_ID 62415
Table_13_Weight 5
Table_14_Asset_ID 62416
Table_14_Weight 5
Table_15_Asset_ID 62417
Table_15_Weight 5
//220i
Table_16_Asset_ID 62420
Table_16_Weight 12
Table_17_Asset_ID 62421
Table_17_Weight 12
Table_18_Asset_ID 62422
Table_18_Weight 12
Table_19_Asset_ID 62423
Table_19_Weight 12
Table_20_Asset_ID 62424
Table_20_Weight 12
Table_21_Asset_ID 62425
Table_21_Weight 12
Table_22_Asset_ID 62426
Table_22_Weight 12
Table_23_Asset_ID 62427
Table_23_Weight 12
//Pajero
Table_24_Asset_ID 62430
Table_24_Weight 13
Table_25_Asset_ID 62431
Table_25_Weight 13
Table_26_Asset_ID 62432
Table_26_Weight 13
Table_27_Asset_ID 62433
Table_27_Weight 13
Table_28_Asset_ID 62434
Table_28_Weight 13
Table_29_Asset_ID 62435
Table_29_Weight 13
Table_30_Asset_ID 62436
Table_30_Weight 13
Table_31_Asset_ID 62437
Table_31_Weight 13
//GT500
Table_32_Asset_ID 62440
Table_32_Weight 3
Table_33_Asset_ID 62441
Table_33_Weight 3
Table_34_Asset_ID 62442
Table_34_Weight 3
Table_35_Asset_ID 62443
Table_35_Weight 3
Table_36_Asset_ID 62444
Table_36_Weight 3
Table_37_Asset_ID 62445
Table_37_Weight 3
Table_38_Asset_ID 62446
Table_38_Weight 3
Table_39_Asset_ID 62447
Table_39_Weight 3
//RX7
Table_40_Asset_ID 62470
Table_40_Weight 7
Table_41_Asset_ID 62471
Table_41_Weight 7
Table_42_Asset_ID 62472
Table_42_Weight 7
Table_43_Asset_ID 62473
Table_43_Weight 7
Table_44_Asset_ID 62474
Table_44_Weight 7
Table_45_Asset_ID 62475
Table_45_Weight 7
Table_46_Asset_ID 62476
Table_46_Weight 7
Table_47_Asset_ID 62477
Table_47_Weight 7
//318i
Table_48_Asset_ID 62480
Table_48_Weight 15
Table_49_Asset_ID 62481
Table_49_Weight 15
Table_50_Asset_ID 62482
Table_50_Weight 15
Table_51_Asset_ID 62483
Table_51_Weight 15
Table_52_Asset_ID 62484
Table_52_Weight 15
Table_53_Asset_ID 62485
Table_53_Weight 15
Table_54_Asset_ID 62486
Table_54_Weight 15
Table_55_Asset_ID 62487
Table_55_Weight 15
//RX7 V-ART
Table_56_Asset_ID 62490
Table_56_Weight 1
Table_57_Asset_ID 62491
Table_57_Weight 1
Table_58_Asset_ID 62492
Table_58_Weight 1
Table_59_Asset_ID 62493
Table_59_Weight 1
Table_60_Asset_ID 62494
Table_60_Weight 1
Table_61_Asset_ID 62495
Table_61_Weight 1
Table_62_Asset_ID 62496
Table_62_Weight 1
Table_63_Asset_ID 62497
Table_63_Weight 1
//Camaro
Table_64_Asset_ID 62500
Table_64_Weight 8
Table_65_Asset_ID 62501
Table_65_Weight 8
Table_66_Asset_ID 62502
Table_66_Weight 8
Table_67_Asset_ID 62503
Table_67_Weight 8
Table_68_Asset_ID 62504
Table_68_Weight 8
Table_69_Asset_ID 62505
Table_69_Weight 8
Table_70_Asset_ID 62506
