GUID e0491b76664d4b56a7cd67e70248b123
Type Spawn
ID 3001

Roots 22
Root_0_Spawn_ID 540
Root_1_Spawn_ID 541
Root_2_Spawn_ID 542
Root_3_Spawn_ID 543
Root_4_Spawn_ID 680
Root_5_Spawn_ID 615
Root_6_Spawn_ID 679
Root_7_Spawn_ID 543
Root_8_Spawn_ID 614
Root_9_Spawn_ID 59248
Root_10_Spawn_ID 9027
Root_11_Spawn_ID 4409
Root_12_Spawn_ID 23555
Root_13_Spawn_ID 6630
Root_14_Spawn_ID 57133
Root_15_Spawn_ID 2164
Root_16_Spawn_ID 1035
Root_17_Spawn_ID 10092
Root_18_Spawn_ID 10093
Root_19_Spawn_ID 7033
Root_20_Spawn_ID 7032
Root_21_Spawn_ID 5084

Root_0_Weight 300
Root_1_Weight 300
Root_2_Weight 300
Root_3_Weight 300
Root_4_Weight 300
Root_5_Weight 300
Root_6_Weight 300
Root_7_Weight 300
Root_8_Weight 300
Root_9_Weight 300
Root_10_Weight 300
Root_11_Weight 300
Root_12_Weight 300
Root_13_Weight 300
Root_14_Weight 300
Root_15_Weight 300
Root_16_Weight 300
Root_17_Weight 300
Root_18_Weight 300
Root_19_Weight 300
Root_20_Weight 300
Root_21_Weight 300

Tables 194
Table_0_Asset_ID 38689
Table_1_Asset_ID 38336
Table_2_Asset_ID 38570
Table_3_Asset_ID 38470
Table_4_Asset_ID 38835
Table_5_Asset_ID 38834
Table_6_Asset_ID 38837
Table_7_Asset_ID 38962
Table_8_Asset_ID 38052
Table_9_Asset_ID 38492
Table_10_Asset_ID 38365
Table_11_Asset_ID 38503
Table_12_Asset_ID 38629
Table_13_Asset_ID 38494
Table_14_Asset_ID 38338
Table_15_Asset_ID 38686
Table_16_Asset_ID 38335
Table_17_Asset_ID 39063
Table_18_Asset_ID 38670
Table_19_Asset_ID 38538
Table_20_Asset_ID 38688
Table_21_Asset_ID 38019
Table_22_Asset_ID 38232
Table_23_Asset_ID 39068
Table_24_Asset_ID 38476
Table_25_Asset_ID 38678
Table_26_Asset_ID 38677
Table_27_Asset_ID 38270
Table_28_Asset_ID 38271
Table_29_Asset_ID 38272
Table_30_Asset_ID 38217
Table_31_Asset_ID 38438
