GUID 3a3df5c8846a48a8bcd4eb2c577a6ba4
Type Spawn
ID 3203

Roots 26
Root_0_Spawn_ID 135
Root_1_Spawn_ID 349
Root_2_Spawn_ID 653
Root_3_Spawn_ID 668
Root_4_Spawn_ID 670
Root_5_Spawn_ID 777
Root_6_Spawn_ID 787
Root_7_Spawn_ID 784
Root_8_Spawn_ID 1009
Root_9_Spawn_ID 1017
Root_10_Spawn_ID 2087
Root_11_Spawn_ID 2094
Root_12_Spawn_ID 2100
Root_13_Spawn_ID 2116
Root_14_Spawn_ID 9018
Root_15_Spawn_ID 4363
Root_16_Spawn_ID 4336
Root_17_Spawn_ID 6611
Root_18_Spawn_ID 5044
Root_19_Spawn_ID 57093
Root_20_Spawn_ID 7062
Root_21_Spawn_ID 59200
Root_22_Spawn_ID 59144
Root_23_Spawn_ID 10062
Root_24_Spawn_ID 10076
Root_25_Spawn_ID 10581

Root_0_Weight 200
Root_1_Weight 200
Root_2_Weight 200
Root_3_Weight 200
Root_4_Weight 200
Root_5_Weight 200
Root_6_Weight 200
Root_7_Weight 200
Root_8_Weight 200
Root_9_Weight 200
Root_10_Weight 200
Root_11_Weight 200
Root_12_Weight 200
Root_13_Weight 200
Root_14_Weight 200
Root_15_Weight 200
Root_16_Weight 200
Root_17_Weight 200
Root_18_Weight 200
Root_19_Weight 200
Root_20_Weight 200
Root_21_Weight 200
Root_22_Weight 200
Root_23_Weight 200
Root_24_Weight 200
Root_25_Weight 200


Tables 44
Table_0_Asset_ID 38336
Table_1_Asset_ID 38470
Table_2_Asset_ID 38570
Table_3_Asset_ID 38216
Table_4_Asset_ID 38839
Table_5_Asset_ID 38518
Table_6_Asset_ID 38641
Table_7_Asset_ID 38219
Table_8_Asset_ID 38642
Table_9_Asset_ID 38503
Table_10_Asset_ID 38307
Table_11_Asset_ID 38643
Table_12_Asset_ID 38442
Table_13_Asset_ID 38335
Table_14_Asset_ID 39063
Table_15_Asset_ID 38019
Table_16_Asset_ID 38232
Table_17_Asset_ID 39068
Table_18_Asset_ID 38444
Table_19_Asset_ID 38445
Table_20_Asset_ID 38217
Table_21_Asset_ID 38315
Table_22_Asset_ID 38318
Table_23_Asset_ID 38438
Table_24_Asset_ID 38364
Table_25_Asset_ID 38383
Table_26_Asset_ID 38384
Table_27_Asset_ID 38385
Table_28_Asset_ID 38368
Table_29_Asset_ID 39031
Table_30_Asset_ID 38255
Table_31_Asset_ID 38392
Table_32_Asset_ID 38706
Table_33_Asset_ID 38850
Table_34_Asset_ID 39037
Table_35_Asset_ID 38376
Table_36_Asset_ID 38377
Table_37_Asset_ID 38378
Table_38_Asset_ID 39003
Table_39_Asset_ID 39017
Table_40_Asset_ID 39008
Table_41_Asset_ID 39042
Table_42_Asset_ID 39046

Table_0_Weight 10
Table_1_Weight 10
Table_2_Weight 10
Table_3_Weight 5
Table_4_Weight 5
Table_5_Weight 5
Table_6_Weight 5
Table_7_Weight 1
Table_8_Weight 5
Table_9_Weight 10
Table_10_Weight 5
Table_11_Weight 5
Table_12_Weight 5
Table_13_Weight 10
Table_14_Weight 10
Table_15_Weight 10
Table_16_Weight 10
Table_17_Weight 10
Table_18_Weight 5
Table_19_Weight 5
Table_20_Weight 10
Table_21_Weight 5
Table_22_Weight 5
Table_23_Weight 10
Table_24_Weight 10
Table_25_Weight 10
Table_26_Weight 10
Table_27_Weight 10
Table_28_Weight 10
Table_29_Weight 10
Table_30_Weight 10
Table_31_Weight 10
Table_32_Weight 10
Table_33_Weight 10
Table_34_Weight 10
Table_35_Weight 10
Table_36_Weight 10
Table_37_Weight 10
Table_38_Weight 5
Table_39_Weight 10
Table_40_Weight 5
Table_41_Weight 10
Table_42_Weight 10

Table_43_Asset_ID 38979
Table_43_Weight 10

