GUID 4f98777c9742490c9c0f1a04b91eb4c2
Type Spawn
ID 3204

Roots 13
Root_0_Spawn_ID 229
Root_1_Spawn_ID 229
Root_2_Spawn_ID 627
Root_3_Spawn_ID 229
Root_4_Spawn_ID 229
Root_5_Spawn_ID 2153
Root_6_Spawn_ID 9011
Root_7_Spawn_ID 229
Root_8_Spawn_ID 5053
Root_9_Spawn_ID 57061
Root_10_Spawn_ID 7026
Root_11_Spawn_ID 59051
Root_12_Spawn_ID 10065

Root_0_Weight 200
Root_1_Weight 200
Root_2_Weight 200
Root_3_Weight 200
Root_4_Weight 200
Root_5_Weight 200
Root_6_Weight 200
Root_7_Weight 200
Root_8_Weight 200
Root_9_Weight 200
Root_10_Weight 200
Root_11_Weight 200
Root_12_Weight 200

Tables 141
Table_0_Asset_ID 38000
Table_1_Asset_ID 38012
Table_2_Asset_ID 38021
Table_3_Asset_ID 38022
Table_4_Asset_ID 38023
Table_5_Asset_ID 38036
Table_6_Asset_ID 38037
Table_7_Asset_ID 38041
Table_8_Asset_ID 38049
Table_9_Asset_ID 38053
Table_10_Asset_ID 38101
Table_11_Asset_ID 38102
Table_12_Asset_ID 38103
Table_13_Asset_ID 38105
Table_14_Asset_ID 38133
Table_15_Asset_ID 38141
Table_16_Asset_ID 38295
Table_17_Asset_ID 38297
Table_18_Asset_ID 38298
Table_19_Asset_ID 38300
Table_20_Asset_ID 38308
Table_21_Asset_ID 38309
Table_22_Asset_ID 38324
Table_23_Asset_ID 38328
Table_24_Asset_ID 38332
Table_25_Asset_ID 38340
Table_26_Asset_ID 38342
Table_27_Asset_ID 38353
Table_28_Asset_ID 38388
Table_29_Asset_ID 38396
Table_30_Asset_ID 38401
Table_31_Asset_ID 38402
Table_32_Asset_ID 38406
Table_33_Asset_ID 38447
Table_34_Asset_ID 38449
Table_35_Asset_ID 38450
Table_36_Asset_ID 38451
Table_37_Asset_ID 38452
Table_38_Asset_ID 38453
Table_39_Asset_ID 38456
Table_40_Asset_ID 38467
Table_41_Asset_ID 38480
Table_42_Asset_ID 38485
Table_43_Asset_ID 38524
Table_44_Asset_ID 38539
Table_45_Asset_ID 38540
Table_46_Asset_ID 38545
Table_47_Asset_ID 38546
Table_48_Asset_ID 38547
Table_49_Asset_ID 38548
Table_50_Asset_ID 38549
Table_51_Asset_ID 38550
Table_52_Asset_ID 38551
Table_53_Asset_ID 38552
Table_54_Asset_ID 38553
Table_55_Asset_ID 38554
Table_56_Asset_ID 38555
Table_57_Asset_ID 38556
Table_58_Asset_ID 38557
Table_59_Asset_ID 38560
Table_60_Asset_ID 38561
Table_61_Asset_ID 38564
Table_62_Asset_ID 38602
Table_63_Asset_ID 38607
Table_64_Asset_ID 38618
Table_65_Asset_ID 38621
Table_66_Asset_ID 38622
Table_67_Asset_ID 38792
Table_68_Asset_ID 38793
Table_69_Asset_ID 38794
Table_70_Asset_ID 38795
Table_71_Asset_ID 38796
Table_72_Asset_ID 38802
Table_73_Asset_ID 38803
Table_74_Asset_ID 38804
Table_75_Asset_ID 38805
Table_76_Asset_ID 38807
Table_77_Asset_ID 38810
Table_78_Asset_ID 38013
Table_79_Asset_ID 38014
Table_80_Asset_ID 38016
Table_81_Asset_ID 38024
Table_82_Asset_ID 38034
Table_83_Asset_ID 38035
Table_84_Asset_ID 38038
Table_85_Asset_ID 38042
Table_86_Asset_ID 38072
Table_87_Asset_ID 38075
Table_88_Asset_ID 38082
Table_89_Asset_ID 38096
Table_90_Asset_ID 38108
Table_91_Asset_ID 38123
Table_92_Asset_ID 38124
Table_93_Asset_ID 38155
Table_94_Asset_ID 38198
Table_95_Asset_ID 38199
Table_96_Asset_ID 38200
Table_97_Asset_ID 38202
Table_98_Asset_ID 38203
Table_99_Asset_ID 38207
Table_100_Asset_ID 38209
Table_101_Asset_ID 38220
Table_102_Asset_ID 38231
Table_103_Asset_ID 38233
Table_104_Asset_ID 38242
Table_105_Asset_ID 38256
Table_106_Asset_ID 38257
Table_107_Asset_ID 38262
Table_108_Asset_ID 38305
Table_109_Asset_ID 38330
Table_110_Asset_ID 38333
Table_111_Asset_ID 38354
Table_112_Asset_ID 38387
Table_113_Asset_ID 38390
Table_114_Asset_ID 38399
Table_115_Asset_ID 38439
Table_116_Asset_ID 38441
Table_117_Asset_ID 38461
Table_118_Asset_ID 38469
Table_119_Asset_ID 38474
Table_120_Asset_ID 38499
Table_121_Asset_ID 38500
Table_122_Asset_ID 38501
Table_123_Asset_ID 38502
Table_124_Asset_ID 38628
Table_125_Asset_ID 38644
Table_126_Asset_ID 38647
Table_127_Asset_ID 38648
Table_128_Asset_ID 38652
Table_129_Asset_ID 38657
Table_130_Asset_ID 38666
Table_131_Asset_ID 38787
Table_132_Asset_ID 38790
Table_133_Asset_ID 38820
Table_134_Asset_ID 38951
Table_135_Asset_ID 38953
Table_136_Asset_ID 38954
Table_137_Asset_ID 38960
Table_138_Asset_ID 38961

