GUID 20e5606d8c124c0da6128076f1da3bf6
Type Spawn
ID 3206

Roots 13
Root_0_Spawn_ID 237
Root_1_Spawn_ID 237
Root_2_Spawn_ID 628
Root_3_Spawn_ID 237
Root_4_Spawn_ID 237
Root_5_Spawn_ID 2160
Root_6_Spawn_ID 9011
Root_7_Spawn_ID 237
Root_8_Spawn_ID 5072
Root_9_Spawn_ID 57061
Root_10_Spawn_ID 7027
Root_11_Spawn_ID 59051
Root_12_Spawn_ID 10069

Root_0_Weight 200
Root_1_Weight 200
Root_2_Weight 200
Root_3_Weight 200
Root_4_Weight 200
Root_5_Weight 200
Root_6_Weight 200
Root_7_Weight 200
Root_8_Weight 200
Root_9_Weight 200
Root_10_Weight 200
Root_11_Weight 200
Root_12_Weight 200

Tables 53
Table_0_Asset_ID 38002
Table_1_Asset_ID 38009
Table_2_Asset_ID 38056
Table_3_Asset_ID 38058
Table_4_Asset_ID 38081
Table_5_Asset_ID 38083
Table_6_Asset_ID 38094
Table_7_Asset_ID 38169
Table_8_Asset_ID 38205
Table_9_Asset_ID 38206
Table_10_Asset_ID 38223
Table_11_Asset_ID 38235
Table_12_Asset_ID 38236
Table_13_Asset_ID 38269
Table_14_Asset_ID 38296
Table_15_Asset_ID 38299
Table_16_Asset_ID 38310
Table_17_Asset_ID 38312
Table_18_Asset_ID 38316
Table_19_Asset_ID 38320
Table_20_Asset_ID 38361
Table_21_Asset_ID 38390
Table_22_Asset_ID 38446
Table_23_Asset_ID 38454
Table_24_Asset_ID 38472
Table_25_Asset_ID 38475
Table_26_Asset_ID 38477
Table_27_Asset_ID 38479
Table_28_Asset_ID 38482
Table_29_Asset_ID 38483
Table_30_Asset_ID 38558
Table_31_Asset_ID 38572
Table_32_Asset_ID 38615
Table_33_Asset_ID 38623
Table_34_Asset_ID 38638
Table_35_Asset_ID 38645
Table_36_Asset_ID 38646
Table_37_Asset_ID 38651
Table_38_Asset_ID 38653
Table_39_Asset_ID 38654
Table_40_Asset_ID 38655
Table_41_Asset_ID 38658
Table_42_Asset_ID 38659
Table_43_Asset_ID 38661
Table_44_Asset_ID 38662
Table_45_Asset_ID 38663
Table_46_Asset_ID 38664
Table_47_Asset_ID 38665
Table_48_Asset_ID 38666
Table_49_Asset_ID 38668
Table_50_Asset_ID 38684
Table_51_Asset_ID 38798
Table_52_Asset_ID 38799

Table_0_Weight 10
Table_1_Weight 10
Table_2_Weight 10
Table_3_Weight 10
Table_4_Weight 10
Table_5_Weight 1
Table_6_Weight 10
Table_7_Weight 5
Table_8_Weight 5
Table_9_Weight 5
Table_10_Weight 1
Table_11_Weight 10
Table_12_Weight 10
Table_13_Weight 10
Table_14_Weight 5
Table_15_Weight 5
Table_16_Weight 5
Table_17_Weight 5
Table_18_Weight 5
Table_19_Weight 5
Table_20_Weight 5
Table_21_Weight 10
Table_22_Weight 5
Table_23_Weight 5
Table_24_Weight 5
Table_25_Weight 1
Table_26_Weight 10
Table_27_Weight 1
Table_28_Weight 1
Table_29_Weight 1
Table_30_Weight 10
Table_31_Weight 1
Table_32_Weight 1
Table_33_Weight 1
Table_34_Weight 5
Table_35_Weight 10
Table_36_Weight 10
Table_37_Weight 10
Table_38_Weight 10
Table_39_Weight 10
Table_40_Weight 10
Table_41_Weight 10
Table_42_Weight 5
Table_43_Weight 10
Table_44_Weight 10
Table_45_Weight 10
Table_46_Weight 10
Table_47_Weight 10
Table_48_Weight 10
Table_49_Weight 10
Table_50_Weight 10
Table_51_Weight 5
Table_52_Weight 10
