GUID 82625e5a71584c5a84eba075de1af6ff
Type Spawn
ID 3301

Roots 23
Root_0_Spawn_ID 115
Root_1_Spawn_ID 335
Root_2_Spawn_ID 654
Root_3_Spawn_ID 785
Root_4_Spawn_ID 779
Root_5_Spawn_ID 235
Root_6_Spawn_ID 662
Root_7_Spawn_ID 236
Root_8_Spawn_ID 2095
Root_9_Spawn_ID 1011
Root_10_Spawn_ID 2092
Root_11_Spawn_ID 2118
Root_12_Spawn_ID 9019
Root_13_Spawn_ID 4362
Root_14_Spawn_ID 4335
Root_15_Spawn_ID 6610
Root_16_Spawn_ID 5035
Root_17_Spawn_ID 57046
Root_18_Spawn_ID 7061
Root_19_Spawn_ID 59200
Root_20_Spawn_ID 59056
Root_21_Spawn_ID 662
Root_22_Spawn_ID 10582
Root_23_Spawn_ID 10075

Root_0_Weight 300
Root_1_Weight 300
Root_2_Weight 300
Root_3_Weight 300
Root_4_Weight 300
Root_5_Weight 300
Root_6_Weight 300
Root_7_Weight 300
Root_8_Weight 300
Root_9_Weight 300
Root_10_Weight 300
Root_11_Weight 300
Root_12_Weight 300
Root_13_Weight 300
Root_14_Weight 300
Root_15_Weight 300
Root_16_Weight 300
Root_17_Weight 300
Root_18_Weight 300
Root_19_Weight 300
Root_20_Weight 300
Root_21_Weight 300
Root_22_Weight 300
Root_23_Weight 300


Tables 68
Table_0_Asset_ID 38165
Table_1_Asset_ID 38170
Table_2_Asset_ID 38189
Table_3_Asset_ID 38192
Table_4_Asset_ID 38193
Table_5_Asset_ID 38195
Table_6_Asset_ID 38196
Table_7_Asset_ID 38281
Table_8_Asset_ID 38284
Table_9_Asset_ID 38286
Table_10_Asset_ID 38287
Table_11_Asset_ID 38304
Table_12_Asset_ID 38397
Table_13_Asset_ID 38408
Table_14_Asset_ID 38409
Table_15_Asset_ID 38410
Table_16_Asset_ID 38416
Table_17_Asset_ID 38417
Table_18_Asset_ID 38418
Table_19_Asset_ID 38420
Table_20_Asset_ID 38424
Table_21_Asset_ID 38425
Table_22_Asset_ID 38427
Table_23_Asset_ID 38430
Table_24_Asset_ID 38431
Table_25_Asset_ID 38434
Table_26_Asset_ID 38702
Table_27_Asset_ID 38808
Table_28_Asset_ID 38812
Table_29_Asset_ID 38872
Table_30_Asset_ID 38876
Table_31_Asset_ID 38878
Table_32_Asset_ID 38879
Table_33_Asset_ID 38880
Table_34_Asset_ID 38884
Table_35_Asset_ID 38887
Table_36_Asset_ID 38166
Table_37_Asset_ID 38190
Table_38_Asset_ID 38285
Table_39_Asset_ID 38407
Table_40_Asset_ID 38888
Table_41_Asset_ID 38138
Table_42_Asset_ID 38164
Table_43_Asset_ID 38254
Table_44_Asset_ID 38274
Table_45_Asset_ID 38275
Table_46_Asset_ID 38276
Table_47_Asset_ID 38277
Table_48_Asset_ID 38326
Table_49_Asset_ID 38421
Table_50_Asset_ID 38422
Table_51_Asset_ID 38433
Table_52_Asset_ID 38288
Table_53_Asset_ID 38432
Table_54_Asset_ID 38885
Table_55_Asset_ID 38167
Table_56_Asset_ID 38278
Table_57_Asset_ID 38283
Table_58_Asset_ID 38462
Table_59_Asset_ID 38873
Table_60_Asset_ID 38413
Table_61_Asset_ID 38419
Table_62_Asset_ID 38463
Table_63_Asset_ID 38464

Table_0_Weight 20
Table_1_Weight 5
Table_2_Weight 15
Table_3_Weight 10
Table_4_Weight 20
Table_5_Weight 15
Table_6_Weight 10
Table_7_Weight 20
Table_8_Weight 20
Table_9_Weight 20
Table_10_Weight 20
Table_11_Weight 20
Table_12_Weight 20
Table_13_Weight 20
Table_14_Weight 20
Table_15_Weight 20
Table_16_Weight 20
Table_17_Weight 20
Table_18_Weight 20
Table_19_Weight 20
Table_20_Weight 20
Table_21_Weight 20
Table_22_Weight 20
Table_23_Weight 10
Table_24_Weight 20
Table_25_Weight 10
Table_26_Weight 20
Table_27_Weight 20
Table_28_Weight 10
Table_29_Weight 10
Table_30_Weight 15
Table_31_Weight 20
Table_32_Weight 20
Table_33_Weight 20
Table_34_Weight 10
Table_35_Weight 15
Table_36_Weight 15
Table_37_Weight 15
Table_38_Weight 15
Table_39_Weight 15
Table_40_Weight 15
Table_41_Weight 15
Table_42_Weight 10
Table_43_Weight 5
Table_44_Weight 15
Table_45_Weight 10
Table_46_Weight 10
Table_47_Weight 10
Table_48_Weight 10
Table_49_Weight 10
Table_50_Weight 10
Table_51_Weight 10
Table_52_Weight 15
Table_53_Weight 15
Table_54_Weight 15
Table_55_Weight 10
Table_56_Weight 15
Table_57_Weight 5
Table_58_Weight 15
Table_59_Weight 15
Table_60_Weight 10
Table_61_Weight 10
Table_62_Weight 10
Table_63_Weight 10

Table_64_Asset_ID 38985
Table_65_Asset_ID 38992
Table_66_Asset_ID 39064
Table_67_Asset_ID 39050

Table_64_Weight 15
Table_65_Weight 5
Table_66_Weight 5
Table_67_Weight 10
