GUID d937828d3d0946aa8e637c761e210178
Type Spawn
ID 3400

Roots 4
Root_0_Spawn_ID 59223
Root_1_Spawn_ID 4405
Root_2_Spawn_ID 57126
Root_3_Spawn_ID 7148

Root_0_Weight 300
Root_1_Weight 300
Root_2_Weight 300
Root_3_Weight 300


Tables 234
Table_0_Asset_ID 38294
Table_1_Asset_ID 38301
Table_2_Asset_ID 38302
Table_3_Asset_ID 38169
Table_4_Asset_ID 38205
Table_5_Asset_ID 38206
Table_6_Asset_ID 38296
Table_7_Asset_ID 38299
Table_8_Asset_ID 38310
Table_9_Asset_ID 38312
Table_10_Asset_ID 38316
Table_11_Asset_ID 38320
Table_12_Asset_ID 38361
Table_13_Asset_ID 38446
Table_14_Asset_ID 38454
Table_15_Asset_ID 38472
Table_16_Asset_ID 38638
Table_17_Asset_ID 38659
Table_18_Asset_ID 38798
Table_19_Asset_ID 38083
Table_20_Asset_ID 38223
Table_21_Asset_ID 38475
Table_22_Asset_ID 38479
Table_23_Asset_ID 38482
Table_24_Asset_ID 38483
Table_25_Asset_ID 38572
Table_26_Asset_ID 38615
Table_27_Asset_ID 38623
Table_28_Asset_ID 38666
Table_29_Asset_ID 38002
Table_30_Asset_ID 38009
Table_31_Asset_ID 38235
Table_32_Asset_ID 38236
Table_33_Asset_ID 38269
Table_34_Asset_ID 38390
Table_35_Asset_ID 38477
Table_36_Asset_ID 38651
Table_37_Asset_ID 38655
Table_38_Asset_ID 38664
Table_39_Asset_ID 38665
Table_40_Asset_ID 38668
Table_41_Asset_ID 38684
Table_42_Asset_ID 38799
Table_43_Asset_ID 38001
Table_44_Asset_ID 38003
Table_45_Asset_ID 38004
Table_46_Asset_ID 38011
Table_47_Asset_ID 38017
Table_48_Asset_ID 38020
Table_49_Asset_ID 38025
Table_50_Asset_ID 38026
Table_51_Asset_ID 38027
Table_52_Asset_ID 38033
Table_53_Asset_ID 38055
Table_54_Asset_ID 38057
Table_55_Asset_ID 38064
Table_56_Asset_ID 38085
Table_57_Asset_ID 38086
Table_58_Asset_ID 38089
Table_59_Asset_ID 38090
Table_60_Asset_ID 38091
Table_61_Asset_ID 38092
Table_62_Asset_ID 38093
Table_63_Asset_ID 38098
Table_64_Asset_ID 38107
Table_65_Asset_ID 38109
Table_66_Asset_ID 38110
Table_67_Asset_ID 38111
Table_68_Asset_ID 38112
Table_69_Asset_ID 38114
Table_70_Asset_ID 38115
Table_71_Asset_ID 38117
Table_72_Asset_ID 38119
Table_73_Asset_ID 38120
Table_74_Asset_ID 38126
Table_75_Asset_ID 38147
Table_76_Asset_ID 38197
Table_77_Asset_ID 38201
Table_78_Asset_ID 38208
Table_79_Asset_ID 38213
Table_80_Asset_ID 38214
Table_81_Asset_ID 38221
Table_82_Asset_ID 38225
Table_83_Asset_ID 38230
Table_84_Asset_ID 38234
Table_85_Asset_ID 38237
Table_86_Asset_ID 38239
Table_87_Asset_ID 38241
Table_88_Asset_ID 38244
Table_89_Asset_ID 38245
Table_90_Asset_ID 38251
Table_91_Asset_ID 38252
Table_92_Asset_ID 38258
Table_93_Asset_ID 38259
