GUID bda0a8ce54c74c7395d5e211055d2e56
Type Spawn
ID 3601

Roots 17
Root_0_Spawn_ID 241
Root_1_Spawn_ID 217
Root_2_Spawn_ID 282
Root_3_Spawn_ID 383
Root_4_Spawn_ID 397
Root_5_Spawn_ID 623
Root_6_Spawn_ID 759
Root_7_Spawn_ID 241
Root_8_Spawn_ID 217
Root_9_Spawn_ID 282
Root_10_Spawn_ID 9006
Root_11_Spawn_ID 5039
Root_12_Spawn_ID 57033
Root_13_Spawn_ID 7125
Root_14_Spawn_ID 59249
Root_15_Spawn_ID 59247
Root_16_Spawn_ID 59117

Root_0_Weight 300
Root_1_Weight 300
Root_2_Weight 300
Root_3_Weight 300
Root_4_Weight 300
Root_5_Weight 300
Root_6_Weight 300
Root_7_Weight 300
Root_8_Weight 300
Root_9_Weight 300
Root_10_Weight 300
Root_11_Weight 300
Root_12_Weight 300
Root_13_Weight 300
Root_14_Weight 300
Root_15_Weight 300
Root_16_Weight 300

Tables 52
Table_0_Asset_ID  38018
Table_1_Asset_ID 38023
Table_2_Asset_ID 38005
Table_3_Asset_ID 38079
Table_4_Asset_ID 38468
Table_5_Asset_ID 38038
Table_6_Asset_ID 38065
Table_7_Asset_ID  38078
Table_8_Asset_ID 38139
Table_9_Asset_ID 38146
Table_10_Asset_ID 38148
Table_11_Asset_ID 38152
Table_12_Asset_ID 38154
Table_13_Asset_ID 38202
Table_14_Asset_ID 38343
Table_15_Asset_ID 38347
Table_16_Asset_ID 38529
Table_17_Asset_ID 38530
Table_18_Asset_ID 38562
Table_19_Asset_ID 38588
Table_20_Asset_ID 38039
Table_21_Asset_ID 38040
Table_22_Asset_ID 38041
Table_23_Asset_ID 38043
Table_24_Asset_ID 38044
Table_25_Asset_ID 38045
Table_26_Asset_ID 38047
Table_27_Asset_ID 38048
Table_28_Asset_ID 38049
Table_29_Asset_ID 38053
Table_30_Asset_ID 38062
Table_31_Asset_ID 38067
Table_32_Asset_ID 38143
Table_33_Asset_ID 38153
Table_34_Asset_ID 38214
Table_35_Asset_ID 38298
Table_36_Asset_ID 38344
Table_37_Asset_ID 38393
Table_38_Asset_ID 38394
Table_39_Asset_ID 38395
Table_40_Asset_ID 38466
Table_41_Asset_ID 38467
Table_42_Asset_ID 38496
Table_43_Asset_ID 38526
Table_44_Asset_ID 38527
Table_45_Asset_ID 38528
Table_46_Asset_ID 38359
Table_47_Asset_ID 38330
Table_48_Asset_ID 38961
Table_49_Asset_ID 38840
Table_50_Asset_ID 38972
Table_51_Asset_ID 38976

Table_0_Weight 15
Table_1_Weight 15
Table_2_Weight 15
Table_3_Weight 15
Table_4_Weight 20
Table_5_Weight 10
Table_6_Weight 15
Table_7_Weight 15
Table_8_Weight 10
Table_9_Weight 15
Table_10_Weight 15
Table_11_Weight 15
Table_12_Weight 15
Table_13_Weight 10
Table_14_Weight 15
Table_15_Weight 15
Table_16_Weight 10
Table_17_Weight 10
Table_18_Weight 5
Table_19_Weight 15
Table_20_Weight 15
Table_21_Weight 15
Table_22_Weight 20
Table_23_Weight 15
Table_24_Weight 20
Table_25_Weight 20
Table_26_Weight 15
Table_27_Weight 15
Table_28_Weight 20
Table_29_Weight 20
Table_30_Weight 15
Table_31_Weight 15
Table_32_Weight 20
Table_33_Weight 15
Table_34_Weight 5
Table_35_Weight 15
Table_36_Weight 15
Table_37_Weight 20
Table_38_Weight 20
Table_39_Weight 20
Table_40_Weight 20
Table_41_Weight 20
Table_42_Weight 20
Table_43_Weight 20
Table_44_Weight 20
Table_45_Weight 20
Table_46_Weight 15
Table_47_Weight 10
Table_48_Weight 10
Table_49_Weight 10
Table_50_Weight 15
Table_51_Weight 10
