GUID efe689336d3a46c9b557283135042fdc
Type Spawn
ID 3600

Roots 17
Root_0_Spawn_ID 241
Root_1_Spawn_ID 217
Root_2_Spawn_ID 282
Root_3_Spawn_ID 383
Root_4_Spawn_ID 397
Root_5_Spawn_ID 623
Root_6_Spawn_ID 759
Root_7_Spawn_ID 241
Root_8_Spawn_ID 217
Root_9_Spawn_ID 282
Root_10_Spawn_ID 9006
Root_11_Spawn_ID 5039
Root_12_Spawn_ID 57033
Root_13_Spawn_ID 7125
Root_14_Spawn_ID 59249
Root_15_Spawn_ID 59247
Root_16_Spawn_ID 59117

Root_0_Weight 300
Root_1_Weight 300
Root_2_Weight 300
Root_3_Weight 300
Root_4_Weight 300
Root_5_Weight 300
Root_6_Weight 300
Root_7_Weight 300
Root_8_Weight 300
Root_9_Weight 300
Root_10_Weight 300
Root_11_Weight 300
Root_12_Weight 300
Root_13_Weight 300
Root_14_Weight 300
Root_15_Weight 300
Root_16_Weight 300

Tables 99
Table_0_Asset_ID  38497
Table_1_Asset_ID 38073
Table_2_Asset_ID 38144
Table_3_Asset_ID 38149
Table_4_Asset_ID 38150
Table_5_Asset_ID 38151
Table_6_Asset_ID 38156
Table_7_Asset_ID  38159
Table_8_Asset_ID 38171
Table_9_Asset_ID 38172
Table_10_Asset_ID 38173
Table_11_Asset_ID 38174
Table_12_Asset_ID 38175
Table_13_Asset_ID 38176
Table_14_Asset_ID 38177
Table_15_Asset_ID 38178
Table_16_Asset_ID 38179
Table_17_Asset_ID 38180
Table_18_Asset_ID 38181
Table_19_Asset_ID 38182
Table_20_Asset_ID 38184
Table_21_Asset_ID 38185
Table_22_Asset_ID 38324
Table_23_Asset_ID 38327
Table_24_Asset_ID 38328
Table_25_Asset_ID 38329
Table_26_Asset_ID 38332
Table_27_Asset_ID 38340
Table_28_Asset_ID 38348
Table_29_Asset_ID 38349
Table_30_Asset_ID 38351
Table_31_Asset_ID 38355
Table_32_Asset_ID 38356
Table_33_Asset_ID 38358
Table_34_Asset_ID 38360
Table_35_Asset_ID 38457
Table_36_Asset_ID 38465
Table_37_Asset_ID 38507
Table_38_Asset_ID 38508
Table_39_Asset_ID 38519
Table_40_Asset_ID 38520
Table_41_Asset_ID 38522
Table_42_Asset_ID 38523
Table_43_Asset_ID 38524
Table_44_Asset_ID 38598
Table_45_Asset_ID 38803
Table_46_Asset_ID 38807
Table_47_Asset_ID 38809
Table_48_Asset_ID 38817
Table_49_Asset_ID 38818
Table_50_Asset_ID 38819
Table_51_Asset_ID 38824
Table_52_Asset_ID 38825
Table_53_Asset_ID 38830
Table_54_Asset_ID 38841
Table_55_Asset_ID 38842
Table_56_Asset_ID 38846
Table_57_Asset_ID 38851
Table_58_Asset_ID 38852
Table_59_Asset_ID 38853
Table_60_Asset_ID 38854
Table_61_Asset_ID 38855
Table_62_Asset_ID 38856
Table_63_Asset_ID 38857
Table_64_Asset_ID 38858
Table_65_Asset_ID 38859
Table_66_Asset_ID 38860
Table_67_Asset_ID 38881
Table_68_Asset_ID 38882
Table_69_Asset_ID 38883
Table_70_Asset_ID 38963
Table_71_Asset_ID 38346
Table_72_Asset_ID 38822
Table_73_Asset_ID 38823
