GUID a4b6b3cca2e045e1b0366c765b89d36e
Type Spawn
ID 3602

Roots 13
Root_0_Spawn_ID 244
Root_1_Spawn_ID 220
Root_2_Spawn_ID 283
Root_3_Spawn_ID 384
Root_4_Spawn_ID 398
Root_5_Spawn_ID 624
Root_6_Spawn_ID 760
Root_7_Spawn_ID 9006
Root_8_Spawn_ID 5039
Root_9_Spawn_ID 59298
Root_10_Spawn_ID 59119
Root_11_Spawn_ID 57035
Root_12_Spawn_ID 7126

Root_0_Weight 300
Root_1_Weight 300
Root_2_Weight 300
Root_3_Weight 300
Root_4_Weight 300
Root_5_Weight 300
Root_6_Weight 300
Root_7_Weight 300
Root_8_Weight 300
Root_9_Weight 300
Root_10_Weight 300
Root_11_Weight 300
Root_12_Weight 300

Tables 66

Table_0_Asset_ID 38982
Table_1_Asset_ID 39000
Table_2_Asset_ID 39001
Table_3_Asset_ID 39002
Table_4_Asset_ID 39003
Table_5_Asset_ID 39004
Table_6_Asset_ID 39005
Table_7_Asset_ID 39015
Table_8_Asset_ID 39023
Table_9_Asset_ID 39029
Table_10_Asset_ID 39032
Table_11_Asset_ID 39034
Table_12_Asset_ID 39035
Table_13_Asset_ID 39038
Table_14_Asset_ID 39039
Table_15_Asset_ID 39055
Table_16_Asset_ID 38068
Table_17_Asset_ID 39029
Table_18_Asset_ID 39057
Table_19_Asset_ID 39058
Table_20_Asset_ID 39060
Table_21_Asset_ID 39061
Table_22_Asset_ID 39062
Table_23_Asset_ID 39086
Table_24_Asset_ID 39087
Table_25_Asset_ID 38232
Table_26_Asset_ID 38325
Table_27_Asset_ID 38335
Table_28_Asset_ID 38336
Table_29_Asset_ID 38365
Table_30_Asset_ID 38366
Table_31_Asset_ID 38369
Table_32_Asset_ID 38370
Table_33_Asset_ID 38375
Table_34_Asset_ID 38391
Table_35_Asset_ID 38470
Table_36_Asset_ID 38492
Table_37_Asset_ID 38498
Table_38_Asset_ID 38509
Table_39_Asset_ID 38510
Table_40_Asset_ID 38525
Table_41_Asset_ID 38563
Table_42_Asset_ID 38589
Table_43_Asset_ID 38616
Table_44_Asset_ID 38670
Table_45_Asset_ID 38685
Table_46_Asset_ID 38688
Table_47_Asset_ID 38689
Table_48_Asset_ID 38690
Table_49_Asset_ID 38693
Table_50_Asset_ID 38801
Table_51_Asset_ID 38815
Table_52_Asset_ID 38816
Table_53_Asset_ID 38832
Table_54_Asset_ID 38833
Table_55_Asset_ID 38834
Table_56_Asset_ID 38835
Table_57_Asset_ID 38836
Table_58_Asset_ID 38837
Table_59_Asset_ID 38838
Table_60_Asset_ID 38839
Table_61_Asset_ID 38874
Table_62_Asset_ID 38875
Table_63_Asset_ID 38962
Table_64_Asset_ID 38968
Table_65_Asset_ID 38971

Table_0_Weight 20
Table_1_Weight 20
Table_2_Weight 20
Table_3_Weight 20
Table_4_Weight 5
Table_5_Weight 20
Table_6_Weight 15
Table_7_Weight 20
Table_8_Weight 15
Table_9_Weight 20
Table_10_Weight 20
Table_11_Weight 15
Table_12_Weight 20
Table_13_Weight 15
Table_14_Weight 15
Table_15_Weight 15
Table_16_Weight 15
Table_17_Weight 15
Table_18_Weight 15
Table_19_Weight 20
Table_20_Weight 20
Table_21_Weight 15
Table_22_Weight 15
Table_23_Weight 15
Table_24_Weight 20
Table_25_Weight 10
Table_26_Weight 20
Table_27_Weight 10
Table_28_Weight 10
Table_29_Weight 10
Table_30_Weight 10
Table_31_Weight 15
Table_32_Weight 15
Table_33_Weight 15
Table_34_Weight 15
Table_35_Weight 10
Table_36_Weight 10
Table_37_Weight 20
Table_38_Weight 15
Table_39_Weight 15
Table_40_Weight 20
Table_41_Weight 5
Table_42_Weight 20
Table_43_Weight 5
Table_44_Weight 10
Table_45_Weight 15
Table_46_Weight 10
Table_47_Weight 10
Table_48_Weight 15
Table_49_Weight 15
Table_50_Weight 20
Table_51_Weight 15
Table_52_Weight 15
Table_53_Weight 15
Table_54_Weight 15
Table_55_Weight 10
Table_56_Weight 10
Table_57_Weight 15
Table_58_Weight 10
Table_59_Weight 20
Table_60_Weight 5
Table_61_Weight 20
Table_62_Weight 20
Table_63_Weight 10
Table_64_Weight 20
Table_65_Weight 20
