GUID cbaee1ee47ae4574b6e9943d07080d8b
Type Spawn
ID 3503

Roots 2
Root_0_Spawn_ID 786
Root_0_Weight 300
Root_1_Spawn_ID 788
Root_1_Weight 300

Tables 73
Table_0_Asset_ID 38009
Table_1_Asset_ID 38016
Table_2_Asset_ID 38072
Table_3_Asset_ID 38108
Table_4_Asset_ID 38124
Table_5_Asset_ID 38141
Table_6_Asset_ID 38200
Table_7_Asset_ID 38209
Table_8_Asset_ID 38220
Table_9_Asset_ID 38242
Table_10_Asset_ID 38387
Table_11_Asset_ID 38390
Table_12_Asset_ID 38474
Table_13_Asset_ID 38576
Table_14_Asset_ID 38626
Table_15_Asset_ID 38644
Table_16_Asset_ID 38645
Table_17_Asset_ID 38647
Table_18_Asset_ID 38648
Table_19_Asset_ID 38651
Table_20_Asset_ID 38652
Table_21_Asset_ID 38657
Table_22_Asset_ID 38662
Table_23_Asset_ID 38666
Table_24_Asset_ID 38684
Table_25_Asset_ID 38799
Table_26_Asset_ID 38953
Table_27_Asset_ID 38024
Table_28_Asset_ID 38034
Table_29_Asset_ID 38035
Table_30_Asset_ID 38235
Table_31_Asset_ID 38236
Table_32_Asset_ID 38542
Table_33_Asset_ID 38573
Table_34_Asset_ID 38028
Table_35_Asset_ID 38082
Table_36_Asset_ID 38155
Table_37_Asset_ID 38461
Table_38_Asset_ID 38831
Table_39_Asset_ID 38213
Table_40_Asset_ID 38339
Table_41_Asset_ID 38660
Table_42_Asset_ID 38031
Table_43_Asset_ID 38114
Table_44_Asset_ID 38227
Table_45_Asset_ID 38595
Table_46_Asset_ID 38017
Table_47_Asset_ID 38033
Table_48_Asset_ID 38055
Table_49_Asset_ID 38057
Table_50_Asset_ID 38107
Table_51_Asset_ID 38119
Table_52_Asset_ID 38201
Table_53_Asset_ID 38205
Table_54_Asset_ID 38225
Table_55_Asset_ID 38252
Table_56_Asset_ID 38259
Table_57_Asset_ID 38261
Table_58_Asset_ID 38296
Table_59_Asset_ID 38312
Table_60_Asset_ID 38446
Table_61_Asset_ID 38566
Table_62_Asset_ID 38567
Table_63_Asset_ID 38952
Table_64_Asset_ID 38098
Table_65_Asset_ID 38147
Table_66_Asset_ID 38206
Table_67_Asset_ID 38251
Table_68_Asset_ID 38363
Table_69_Asset_ID 38869
Table_70_Asset_ID 38359
Table_71_Asset_ID 38827

Table_0_Weight 10
Table_1_Weight 10
Table_2_Weight 10
Table_3_Weight 10
Table_4_Weight 10
Table_5_Weight 10
Table_6_Weight 10
Table_7_Weight 10
Table_8_Weight 10
Table_9_Weight 10
Table_10_Weight 10
Table_11_Weight 10
Table_12_Weight 10
Table_13_Weight 10
Table_14_Weight 10
Table_15_Weight 10
Table_16_Weight 10
Table_17_Weight 10
Table_18_Weight 10
Table_19_Weight 10
Table_20_Weight 10
Table_21_Weight 10
Table_22_Weight 10
Table_23_Weight 10
Table_24_Weight 10
Table_25_Weight 10
Table_26_Weight 10
Table_27_Weight 10
Table_28_Weight 10
Table_29_Weight 10
Table_30_Weight 10
Table_31_Weight 10
Table_32_Weight 10
Table_33_Weight 10
Table_34_Weight 10
Table_35_Weight 10
Table_36_Weight 10
Table_37_Weight 10
Table_38_Weight 10
Table_39_Weight 5
Table_40_Weight 5
Table_41_Weight 5
Table_42_Weight 5
Table_43_Weight 5
Table_44_Weight 5
Table_45_Weight 5
Table_46_Weight 5
Table_47_Weight 5
Table_48_Weight 5
Table_49_Weight 5
Table_50_Weight 5
Table_51_Weight 5
Table_52_Weight 5
Table_53_Weight 5
Table_54_Weight 5
Table_55_Weight 5
Table_56_Weight 5
Table_57_Weight 5
Table_58_Weight 5
Table_59_Weight 5
Table_60_Weight 5
Table_61_Weight 5
Table_62_Weight 5
Table_63_Weight 5
Table_64_Weight 5
Table_65_Weight 5
Table_66_Weight 5
Table_67_Weight 5
Table_68_Weight 15
Table_69_Weight 15
Table_70_Weight 15
Table_71_Weight 15

Table_72_Asset_ID 39058
Table_72_Weight 10
