GUID ddbfb5198e2b4a279c9062e869cf8fb6
Type Spawn
ID 3500

Roots 1
Root_0_Spawn_ID 792
Root_0_Weight 300

Tables 72
Table_0_Asset_ID 38681
Table_1_Asset_ID 39025
Table_2_Asset_ID 38571
Table_3_Asset_ID 38682
Table_4_Asset_ID 38683
Table_5_Asset_ID 38832
Table_6_Asset_ID 38833
Table_7_Asset_ID 38836
Table_8_Asset_ID 39062
Table_9_Asset_ID 38051
Table_10_Asset_ID 38068
Table_11_Asset_ID 38491
Table_12_Asset_ID 38815
Table_13_Asset_ID 38077
Table_14_Asset_ID 38685
Table_15_Asset_ID 38448
Table_16_Asset_ID 38690
Table_17_Asset_ID 38691
Table_18_Asset_ID 38692
Table_19_Asset_ID 38797
Table_20_Asset_ID 38676
Table_21_Asset_ID 38673
Table_22_Asset_ID 38672
Table_23_Asset_ID 38687
Table_24_Asset_ID 39032
Table_25_Asset_ID 39030
Table_26_Asset_ID 39027
Table_27_Asset_ID 38674
Table_28_Asset_ID 38675
Table_29_Asset_ID 38676
Table_30_Asset_ID 39042
Table_31_Asset_ID 38816
Table_32_Asset_ID 39057
Table_33_Asset_ID 38382
Table_34_Asset_ID 39086
Table_35_Asset_ID 38693
Table_36_Asset_ID 39029
Table_37_Asset_ID 38509
Table_38_Asset_ID 38391
Table_39_Asset_ID 39004
Table_40_Asset_ID 38369
Table_41_Asset_ID 38370
Table_42_Asset_ID 39061
Table_43_Asset_ID 38694
Table_44_Asset_ID 38375
Table_45_Asset_ID 38510

Table_0_Weight 20
Table_1_Weight 15
Table_2_Weight 15
Table_3_Weight 15
Table_4_Weight 15
Table_5_Weight 15
Table_6_Weight 15
Table_7_Weight 15
Table_8_Weight 15
Table_9_Weight 15
Table_10_Weight 15
Table_11_Weight 15
Table_12_Weight 15
Table_13_Weight 15
Table_14_Weight 15
Table_15_Weight 15
Table_16_Weight 15
Table_17_Weight 15
Table_18_Weight 15
Table_19_Weight 15
Table_20_Weight 15
Table_21_Weight 15
Table_22_Weight 15
Table_23_Weight 15
Table_24_Weight 15
Table_25_Weight 15
Table_26_Weight 15
Table_27_Weight 15
Table_28_Weight 15
Table_29_Weight 15
Table_30_Weight 15
Table_31_Weight 15
Table_32_Weight 15
Table_33_Weight 15
Table_34_Weight 15
Table_35_Weight 15
Table_36_Weight 15
Table_37_Weight 15
Table_38_Weight 15
Table_39_Weight 15
Table_40_Weight 15
Table_41_Weight 15
Table_42_Weight 15
Table_43_Weight 15
Table_44_Weight 15
Table_45_Weight 15

Table_46_Asset_ID 39000
Table_47_Asset_ID 39001
Table_48_Asset_ID 39002
Table_49_Asset_ID 39003
Table_50_Asset_ID 39004
Table_51_Asset_ID 39005
Table_52_Asset_ID 39007
Table_53_Asset_ID 39014
Table_54_Asset_ID 39013
Table_55_Asset_ID 39015
Table_56_Asset_ID 39018
Table_57_Asset_ID 39019
Table_58_Asset_ID 39022
Table_59_Asset_ID 39023
Table_60_Asset_ID 39026
Table_61_Asset_ID 39027
Table_62_Asset_ID 39028
Table_63_Asset_ID 39030
Table_64_Asset_ID 39031
Table_65_Asset_ID 39032
Table_66_Asset_ID 39034
Table_67_Asset_ID 39035
Table_68_Asset_ID 39036
Table_69_Asset_ID 39037
Table_70_Asset_ID 39038
Table_71_Asset_ID 39039

Table_46_Weight 20
Table_47_Weight 20
Table_48_Weight 20
Table_49_Weight 5
Table_50_Weight 20
Table_51_Weight 15
Table_52_Weight 15
Table_53_Weight 15
Table_54_Weight 15
Table_55_Weight 20
Table_56_Weight 15
Table_57_Weight 15
Table_58_Weight 15
Table_59_Weight 15
Table_60_Weight 15
Table_61_Weight 15
Table_62_Weight 5
Table_63_Weight 15
Table_64_Weight 15
Table_65_Weight 20
Table_66_Weight 15
Table_67_Weight 20
Table_68_Weight 10
Table_69_Weight 15
Table_70_Weight 15
Table_71_Weight 15
