GUID aa9b25f75fe44268a546db7f0a2c83be
Type Spawn
ID 3501

Roots 1
Root_0_Spawn_ID 791
Root_0_Weight 300

Tables 201
Table_0_Asset_ID 38000
Table_1_Asset_ID 38010
Table_2_Asset_ID 38021
Table_3_Asset_ID 38022
Table_4_Asset_ID 38032
Table_5_Asset_ID 38036
Table_6_Asset_ID 38060
Table_7_Asset_ID 38070
Table_8_Asset_ID 38087
Table_9_Asset_ID 38095
Table_10_Asset_ID 38097
Table_11_Asset_ID 38101
Table_12_Asset_ID 38102
Table_13_Asset_ID 38103
Table_14_Asset_ID 38106
Table_15_Asset_ID 38113
Table_16_Asset_ID 38121
Table_17_Asset_ID 38133
Table_18_Asset_ID 38134
Table_19_Asset_ID 38136
Table_20_Asset_ID 38140
Table_21_Asset_ID 38199
Table_22_Asset_ID 38229
Table_23_Asset_ID 38246
Table_24_Asset_ID 38247
Table_25_Asset_ID 38250
Table_26_Asset_ID 38253
Table_27_Asset_ID 38257
Table_28_Asset_ID 38300
Table_29_Asset_ID 38308
Table_30_Asset_ID 38309
Table_31_Asset_ID 38342
Table_32_Asset_ID 38353
Table_33_Asset_ID 38447
Table_34_Asset_ID 38449
Table_35_Asset_ID 38450
Table_36_Asset_ID 38478
Table_37_Asset_ID 38480
Table_38_Asset_ID 38485
Table_39_Asset_ID 38532
Table_40_Asset_ID 38533
Table_41_Asset_ID 38535
Table_42_Asset_ID 38539
Table_43_Asset_ID 38540
Table_44_Asset_ID 38541
Table_45_Asset_ID 38545
Table_46_Asset_ID 38549
Table_47_Asset_ID 38550
Table_48_Asset_ID 38551
Table_49_Asset_ID 38564
Table_50_Asset_ID 38575
Table_51_Asset_ID 38579
Table_52_Asset_ID 38583
Table_53_Asset_ID 38584
Table_54_Asset_ID 38585
Table_55_Asset_ID 38587
Table_56_Asset_ID 38590
Table_57_Asset_ID 38591
Table_58_Asset_ID 38592
Table_59_Asset_ID 38604
Table_60_Asset_ID 38607
Table_61_Asset_ID 38609
Table_62_Asset_ID 38610
Table_63_Asset_ID 38611
Table_64_Asset_ID 38612
Table_65_Asset_ID 38621
Table_66_Asset_ID 38792
Table_67_Asset_ID 38013
Table_68_Asset_ID 38014
Table_69_Asset_ID 38056
Table_70_Asset_ID 38074
Table_71_Asset_ID 38233
Table_72_Asset_ID 38499
Table_73_Asset_ID 38536
Table_74_Asset_ID 38537
Table_75_Asset_ID 38558
Table_76_Asset_ID 38061
Table_77_Asset_ID 38063
Table_78_Asset_ID 38069
Table_79_Asset_ID 38071
Table_80_Asset_ID 38076
Table_81_Asset_ID 38099
Table_82_Asset_ID 38100
Table_83_Asset_ID 38105
Table_84_Asset_ID 38122
Table_85_Asset_ID 38210
Table_86_Asset_ID 38211
Table_87_Asset_ID 38248
Table_88_Asset_ID 38333
Table_89_Asset_ID 38352
Table_90_Asset_ID 38388
Table_91_Asset_ID 38451
Table_92_Asset_ID 38531
Table_93_Asset_ID 38534
Table_94_Asset_ID 38543
Table_95_Asset_ID 38544
