GUID c39f04447abc42d1970a42e4093f95ea
Type Spawn
ID 3706

Roots 52
Root_0_Spawn_ID 759
Root_1_Spawn_ID 6604
Root_2_Spawn_ID 57053
Root_3_Spawn_ID 5053
Root_4_Spawn_ID 5035
Root_5_Spawn_ID 5028
Root_6_Spawn_ID 4336
Root_7_Spawn_ID 4314
Root_8_Spawn_ID 4302
Root_9_Spawn_ID 383
Root_10_Spawn_ID 241
Root_11_Spawn_ID 2082
Root_12_Spawn_ID 10065
Root_13_Spawn_ID 10057
Root_14_Spawn_ID 59249
Root_15_Spawn_ID 59247
Root_16_Spawn_ID 59200
Root_17_Spawn_ID 59117
Root_18_Spawn_ID 59055
Root_19_Spawn_ID 59051
Root_20_Spawn_ID 57061
Root_21_Spawn_ID 57033
Root_22_Spawn_ID 10011
Root_23_Spawn_ID 9023
Root_24_Spawn_ID 9011
Root_25_Spawn_ID 9006
Root_26_Spawn_ID 9000
Root_27_Spawn_ID 7125
Root_28_Spawn_ID 7026
Root_29_Spawn_ID 7003
Root_30_Spawn_ID 5053
Root_31_Spawn_ID 5039
Root_32_Spawn_ID 2153
Root_33_Spawn_ID 2122
Root_34_Spawn_ID 2108
Root_35_Spawn_ID 1003
Root_36_Spawn_ID 841
Root_37_Spawn_ID 801
Root_38_Spawn_ID 791
Root_39_Spawn_ID 774
Root_40_Spawn_ID 768
Root_41_Spawn_ID 654
Root_42_Spawn_ID 632
Root_43_Spawn_ID 627
Root_44_Spawn_ID 623
Root_45_Spawn_ID 397
Root_46_Spawn_ID 380
Root_47_Spawn_ID 282
Root_48_Spawn_ID 241
Root_49_Spawn_ID 229
Root_50_Spawn_ID 217
Root_51_Spawn_ID 115

Root_0_Weight 300
Root_1_Weight 300
Root_2_Weight 300
Root_3_Weight 300
Root_4_Weight 300
Root_5_Weight 300
Root_6_Weight 300
Root_7_Weight 300
Root_8_Weight 300
Root_9_Weight 300
Root_10_Weight 300
Root_11_Weight 300
Root_12_Weight 300
Root_13_Weight 300
Root_14_Weight 300
Root_15_Weight 300
Root_16_Weight 300
Root_17_Weight 300
Root_18_Weight 300
Root_19_Weight 300
Root_20_Weight 300
Root_21_Weight 300
Root_22_Weight 300
Root_23_Weight 300
Root_24_Weight 300
Root_25_Weight 300
Root_26_Weight 300
Root_27_Weight 300
Root_28_Weight 300
Root_29_Weight 300
Root_30_Weight 300
Root_31_Weight 300
Root_32_Weight 300
Root_33_Weight 300
Root_34_Weight 300
Root_35_Weight 300
Root_36_Weight 300
Root_37_Weight 300
Root_38_Weight 300
Root_39_Weight 300
Root_40_Weight 300
Root_41_Weight 300
Root_42_Weight 300
Root_43_Weight 300
Root_44_Weight 300
Root_45_Weight 300
Root_46_Weight 300
Root_47_Weight 300
Root_48_Weight 300
Root_49_Weight 300
Root_50_Weight 300
Root_51_Weight 300

Tables xx
