GUID 05660c7c2c8a4230a56b788342c30e36
Type Spawn
ID 3803

Roots 12
Root_0_Spawn_ID 229
Root_1_Spawn_ID 229
Root_2_Spawn_ID 627
Root_3_Spawn_ID 229
Root_4_Spawn_ID 229
Root_5_Spawn_ID 2153
Root_6_Spawn_ID 9011
Root_7_Spawn_ID 229
Root_8_Spawn_ID 5053
Root_9_Spawn_ID 57061
Root_10_Spawn_ID 7026
Root_11_Spawn_ID 59051

Root_0_Weight 200
Root_1_Weight 200
Root_2_Weight 200
Root_3_Weight 200
Root_4_Weight 200
Root_5_Weight 200
Root_6_Weight 200
Root_7_Weight 200
Root_8_Weight 200
Root_9_Weight 200
Root_10_Weight 200
Root_11_Weight 200

Tables 111
Table_0_Asset_ID 38000
Table_1_Asset_ID 38021
Table_2_Asset_ID 38022
Table_3_Asset_ID 38036
Table_4_Asset_ID 38101
Table_5_Asset_ID 38102
Table_6_Asset_ID 38103
Table_7_Asset_ID 38105
Table_8_Asset_ID 38133
Table_9_Asset_ID 38139
Table_10_Asset_ID 38141
Table_11_Asset_ID 38300
Table_12_Asset_ID 38308
Table_13_Asset_ID 38309
Table_14_Asset_ID 38342
Table_15_Asset_ID 38353
Table_16_Asset_ID 38388
Table_17_Asset_ID 38447
Table_18_Asset_ID 38449
Table_19_Asset_ID 38450
Table_20_Asset_ID 38451
Table_21_Asset_ID 38456
Table_22_Asset_ID 38480
Table_23_Asset_ID 38485
Table_24_Asset_ID 38539
Table_25_Asset_ID 38540
Table_26_Asset_ID 38545
Table_27_Asset_ID 38546
Table_28_Asset_ID 38547
Table_29_Asset_ID 38548
Table_30_Asset_ID 38549
Table_31_Asset_ID 38550
Table_32_Asset_ID 38551
Table_33_Asset_ID 38552
Table_34_Asset_ID 38553
Table_35_Asset_ID 38554
Table_36_Asset_ID 38555
Table_37_Asset_ID 38556
Table_38_Asset_ID 38557
Table_39_Asset_ID 38560
Table_40_Asset_ID 38561
Table_41_Asset_ID 38564
Table_42_Asset_ID 38584
Table_43_Asset_ID 38602
Table_44_Asset_ID 38607
Table_45_Asset_ID 38618
Table_46_Asset_ID 38621
Table_47_Asset_ID 38622
Table_48_Asset_ID 38649
Table_49_Asset_ID 38650
Table_50_Asset_ID 38792
Table_51_Asset_ID 38794
Table_52_Asset_ID 38795
Table_53_Asset_ID 38796
Table_54_Asset_ID 38810
Table_55_Asset_ID 38005
Table_56_Asset_ID 38006
Table_57_Asset_ID 38012
Table_58_Asset_ID 38015
Table_59_Asset_ID 38023
Table_60_Asset_ID 38037
Table_61_Asset_ID 38079
Table_62_Asset_ID 38116
Table_63_Asset_ID 38128
Table_64_Asset_ID 38148
Table_65_Asset_ID 38268
Table_66_Asset_ID 38295
Table_67_Asset_ID 38297
Table_68_Asset_ID 38298
Table_69_Asset_ID 38324
Table_70_Asset_ID 38350
Table_71_Asset_ID 38396
Table_72_Asset_ID 38401
Table_73_Asset_ID 38402
Table_74_Asset_ID 38403
Table_75_Asset_ID 38406
Table_76_Asset_ID 38452
Table_77_Asset_ID 38453
Table_78_Asset_ID 38481
Table_79_Asset_ID 38497
Table_80_Asset_ID 38793
Table_81_Asset_ID 38804
Table_82_Asset_ID 38805
Table_83_Asset_ID 38814
Table_84_Asset_ID 38041
Table_85_Asset_ID 38049
Table_86_Asset_ID 38053
Table_87_Asset_ID 38328
Table_88_Asset_ID 38332
Table_89_Asset_ID 38340
Table_90_Asset_ID 38466
Table_91_Asset_ID 38467
Table_92_Asset_ID 38468
Table_93_Asset_ID 38524
Table_94_Asset_ID 38802
Table_95_Asset_ID 38803
Table_96_Asset_ID 38807
Table_97_Asset_ID 38817
Table_98_Asset_ID 38822
Table_99_Asset_ID 38823

Table_0_Weight 10
Table_1_Weight 10
Table_2_Weight 10
Table_3_Weight 10
Table_4_Weight 10
Table_5_Weight 10
Table_6_Weight 10
Table_7_Weight 10
Table_8_Weight 10
Table_9_Weight 10
Table_10_Weight 10
Table_11_Weight 10
Table_12_Weight 10
Table_13_Weight 10
Table_14_Weight 10
Table_15_Weight 10
Table_16_Weight 10
Table_17_Weight 10
Table_18_Weight 10
Table_19_Weight 10
Table_20_Weight 10
Table_21_Weight 10
Table_22_Weight 10
Table_23_Weight 10
Table_24_Weight 10
Table_25_Weight 10
Table_26_Weight 10
Table_27_Weight 10
Table_28_Weight 10
Table_29_Weight 10
Table_30_Weight 10
Table_31_Weight 10
Table_32_Weight 10
Table_33_Weight 10
Table_34_Weight 10
Table_35_Weight 10
Table_36_Weight 10
Table_37_Weight 10
Table_38_Weight 10
Table_39_Weight 10
Table_40_Weight 10
Table_41_Weight 10
Table_42_Weight 10
Table_43_Weight 10
Table_44_Weight 10
Table_45_Weight 10
Table_46_Weight 10
Table_47_Weight 10
Table_48_Weight 10
Table_49_Weight 10
Table_50_Weight 10
Table_51_Weight 10
Table_52_Weight 10
Table_53_Weight 10
Table_54_Weight 10
Table_55_Weight 15
Table_56_Weight 15
Table_57_Weight 15
Table_58_Weight 15
Table_59_Weight 15
Table_60_Weight 15
Table_61_Weight 15
Table_62_Weight 15
Table_63_Weight 15
Table_64_Weight 15
Table_65_Weight 15
Table_66_Weight 15
Table_67_Weight 15
Table_68_Weight 15
Table_69_Weight 15
Table_70_Weight 15
Table_71_Weight 15
Table_72_Weight 15
Table_73_Weight 15
Table_74_Weight 15
Table_75_Weight 15
Table_76_Weight 15
Table_77_Weight 15
Table_78_Weight 15
Table_79_Weight 15
Table_80_Weight 15
Table_81_Weight 15
Table_82_Weight 15
Table_83_Weight 15
Table_84_Weight 20
Table_85_Weight 20
Table_86_Weight 20
Table_87_Weight 20
Table_88_Weight 20
Table_89_Weight 20
Table_90_Weight 20
Table_91_Weight 20
Table_92_Weight 20
Table_93_Weight 20
Table_94_Weight 20
Table_95_Weight 20
Table_96_Weight 20
Table_97_Weight 20
Table_98_Weight 20
Table_99_Weight 20

Table_100_Asset_ID 38981
Table_101_Asset_ID 38994
Table_102_Asset_ID 38995
Table_103_Asset_ID 38996
Table_104_Asset_ID 38998
Table_105_Asset_ID 38999
Table_106_Asset_ID 39048
Table_107_Asset_ID 39053
Table_108_Asset_ID 39054
Table_109_Asset_ID 39060
Table_110_Asset_ID 39062

Table_100_Weight 20
Table_101_Weight 15
Table_102_Weight 10
Table_103_Weight 15
Table_104_Weight 20
Table_105_Weight 20
Table_106_Weight 20
Table_107_Weight 10
Table_108_Weight 15
Table_109_Weight 10
Table_110_Weight 15
