GUID d1b8fb74a42849e2becaf414865096ad
Type Spawn
ID 3209

Roots 21
Root_0_Spawn_ID 121
Root_1_Spawn_ID 341
Root_2_Spawn_ID 650
Root_3_Spawn_ID 633
Root_4_Spawn_ID 775
Root_5_Spawn_ID 769
Root_6_Spawn_ID 792
Root_7_Spawn_ID 807
Root_8_Spawn_ID 842
Root_9_Spawn_ID 1004
Root_10_Spawn_ID 2083
Root_11_Spawn_ID 2110
Root_12_Spawn_ID 9010
Root_13_Spawn_ID 6606
Root_14_Spawn_ID 5034
Root_15_Spawn_ID 57093
Root_16_Spawn_ID 7005
Root_17_Spawn_ID 59200
Root_18_Spawn_ID 59144
Root_19_Spawn_ID 10582
Root_20_Spawn_ID 10075

Root_0_Weight 10
Root_1_Weight 10
Root_2_Weight 10
Root_3_Weight 10
Root_4_Weight 10
Root_5_Weight 10
Root_6_Weight 10
Root_7_Weight 10
Root_8_Weight 10
Root_9_Weight 10
Root_10_Weight 10
Root_11_Weight 10
Root_12_Weight 10
Root_13_Weight 10
Root_14_Weight 10
Root_15_Weight 10
Root_16_Weight 10
Root_17_Weight 10
Root_18_Weight 10
Root_19_Weight 10
Root_20_Weight 10

Tables 141
Table_0_Asset_ID 38689
Table_1_Asset_ID 38336
Table_2_Asset_ID 38570
Table_3_Asset_ID 38470
Table_4_Asset_ID 38835
Table_5_Asset_ID 38834
Table_6_Asset_ID 38837
Table_7_Asset_ID 38962
Table_8_Asset_ID 38052
Table_9_Asset_ID 38492
Table_10_Asset_ID 38365
Table_11_Asset_ID 38503
Table_12_Asset_ID 38629
Table_13_Asset_ID 38494
Table_14_Asset_ID 38338
Table_15_Asset_ID 38686
Table_16_Asset_ID 38335
Table_17_Asset_ID 38163
Table_18_Asset_ID 38670
Table_19_Asset_ID 38538
Table_20_Asset_ID 38688
Table_21_Asset_ID 38019
Table_22_Asset_ID 38232
Table_23_Asset_ID 38168
Table_24_Asset_ID 38476
Table_25_Asset_ID 38678
Table_26_Asset_ID 38677
Table_27_Asset_ID 38270
Table_28_Asset_ID 38271
Table_29_Asset_ID 38272
Table_30_Asset_ID 38217
Table_31_Asset_ID 38438
Table_32_Asset_ID 38364
Table_33_Asset_ID 38383
Table_34_Asset_ID 38384
Table_35_Asset_ID 38385
Table_36_Asset_ID 38224
Table_37_Asset_ID 38366
Table_38_Asset_ID 38367
Table_39_Asset_ID 38368
Table_40_Asset_ID 38131
Table_41_Asset_ID 38255
Table_42_Asset_ID 38392
Table_43_Asset_ID 38706
Table_44_Asset_ID 38850
Table_45_Asset_ID 38137
Table_46_Asset_ID 38371
Table_47_Asset_ID 38373
