GUID e5efef2646ef40188f0b7fdf903f5604
Type Spawn
ID 3868

Roots 1
Root_0_Spawn_ID 4314
Root_0_Weight 300

Tables 85
Table_0_Asset_ID 38346
Table_1_Asset_ID 38802
Table_2_Asset_ID 38822
Table_3_Asset_ID 38823
Table_4_Asset_ID 38840
Table_5_Asset_ID 38845
Table_6_Asset_ID 38861
Table_7_Asset_ID 38862
Table_8_Asset_ID 38863
Table_9_Asset_ID 38864
Table_10_Asset_ID 38865
Table_11_Asset_ID 38961
Table_12_Asset_ID 38073
Table_13_Asset_ID 38144
Table_14_Asset_ID 38149
Table_15_Asset_ID 38150
Table_16_Asset_ID 38151
Table_17_Asset_ID 38156
Table_18_Asset_ID 38159
Table_19_Asset_ID 38171
Table_20_Asset_ID 38172
Table_21_Asset_ID 38173
Table_22_Asset_ID 38174
Table_23_Asset_ID 38175
Table_24_Asset_ID 38176
Table_25_Asset_ID 38177
Table_26_Asset_ID 38178
Table_27_Asset_ID 38179
Table_28_Asset_ID 38180
Table_29_Asset_ID 38181
Table_30_Asset_ID 38182
Table_31_Asset_ID 38183
Table_32_Asset_ID 38184
Table_33_Asset_ID 38185
Table_34_Asset_ID 38324
Table_35_Asset_ID 38327
Table_36_Asset_ID 38328
Table_37_Asset_ID 38329
Table_38_Asset_ID 38330
Table_39_Asset_ID 38331
Table_40_Asset_ID 38332
Table_41_Asset_ID 38340
Table_42_Asset_ID 38348
Table_43_Asset_ID 38349
Table_44_Asset_ID 38351
Table_45_Asset_ID 38355
Table_46_Asset_ID 38356
Table_47_Asset_ID 38358
Table_48_Asset_ID 38360
Table_49_Asset_ID 38457
Table_50_Asset_ID 38465
Table_51_Asset_ID 38507
Table_52_Asset_ID 38508
Table_53_Asset_ID 38519
Table_54_Asset_ID 38520
Table_55_Asset_ID 38522
Table_56_Asset_ID 38523
Table_57_Asset_ID 38524
Table_58_Asset_ID 38598
Table_59_Asset_ID 38803
Table_60_Asset_ID 38807
Table_61_Asset_ID 38809
Table_62_Asset_ID 38817
Table_63_Asset_ID 38818
Table_64_Asset_ID 38819
Table_65_Asset_ID 38824
Table_66_Asset_ID 38825
Table_67_Asset_ID 38830
Table_68_Asset_ID 38841
Table_69_Asset_ID 38842
Table_70_Asset_ID 38846
Table_71_Asset_ID 38851
Table_72_Asset_ID 38852
Table_73_Asset_ID 38853
Table_74_Asset_ID 38854
Table_75_Asset_ID 38855
Table_76_Asset_ID 38856
Table_77_Asset_ID 38857
Table_78_Asset_ID 38858
Table_79_Asset_ID 38859
Table_80_Asset_ID 38860
Table_81_Asset_ID 38881
Table_82_Asset_ID 38882
Table_83_Asset_ID 38883
Table_84_Asset_ID 38963

Table_0_Weight 15
Table_1_Weight 20
Table_2_Weight 20
Table_3_Weight 20
Table_4_Weight 10
Table_5_Weight 20
Table_6_Weight 20
Table_7_Weight 20
Table_8_Weight 20
Table_9_Weight 20
Table_10_Weight 20
Table_11_Weight 10
Table_12_Weight 20
Table_13_Weight 20
Table_14_Weight 15
Table_15_Weight 20
Table_16_Weight 20
Table_17_Weight 20
Table_18_Weight 20
Table_19_Weight 10
Table_20_Weight 20
Table_21_Weight 10
Table_22_Weight 15
Table_23_Weight 20
Table_24_Weight 15
Table_25_Weight 15
Table_26_Weight 20
Table_27_Weight 15
Table_28_Weight 20
Table_29_Weight 15
Table_30_Weight 20
Table_31_Weight 10
Table_32_Weight 20
Table_33_Weight 20
Table_34_Weight 15
Table_35_Weight 15
Table_36_Weight 20
Table_37_Weight 20
Table_38_Weight 10
Table_39_Weight 15
Table_40_Weight 20
Table_41_Weight 20
Table_42_Weight 20
Table_43_Weight 20
Table_44_Weight 20
Table_45_Weight 15
Table_46_Weight 20
Table_47_Weight 20
Table_48_Weight 20
Table_49_Weight 15
Table_50_Weight 20
Table_51_Weight 20
Table_52_Weight 15
Table_53_Weight 20
Table_54_Weight 20
Table_55_Weight 20
Table_56_Weight 20
Table_57_Weight 20
Table_58_Weight 20
Table_59_Weight 20
Table_60_Weight 20
Table_61_Weight 15
Table_62_Weight 20
Table_63_Weight 20
Table_64_Weight 20
Table_65_Weight 20
Table_66_Weight 15
Table_67_Weight 20
Table_68_Weight 20
Table_69_Weight 20
Table_70_Weight 15
Table_71_Weight 15
Table_72_Weight 20
Table_73_Weight 15
Table_74_Weight 15
Table_75_Weight 20
Table_76_Weight 20
Table_77_Weight 20
Table_78_Weight 15
Table_79_Weight 20
Table_80_Weight 15
Table_81_Weight 20
Table_82_Weight 20
Table_83_Weight 15
Table_84_Weight 20
