GUID 8a546e6245e34de6991af8eb48ae2556
Type Spawn
ID 3861

Roots 1
Root_0_Spawn_ID 4306
Root_0_Weight 300

Tables 121
Table_0_Asset_ID 38003
Table_1_Asset_ID 38020
Table_2_Asset_ID 38085
Table_3_Asset_ID 38092
Table_4_Asset_ID 38230
Table_5_Asset_ID 38237
Table_6_Asset_ID 38310
Table_7_Asset_ID 38454
Table_8_Asset_ID 38798
Table_9_Asset_ID 38829
Table_10_Asset_ID 38849
Table_11_Asset_ID 38956
Table_12_Asset_ID 38964
Table_13_Asset_ID 38001
Table_14_Asset_ID 38011
Table_15_Asset_ID 38017
Table_16_Asset_ID 38026
Table_17_Asset_ID 38033
Table_18_Asset_ID 38055
Table_19_Asset_ID 38057
Table_20_Asset_ID 38086
Table_21_Asset_ID 38107
Table_22_Asset_ID 38111
Table_23_Asset_ID 38112
Table_24_Asset_ID 38119
Table_25_Asset_ID 38197
Table_26_Asset_ID 38201
Table_27_Asset_ID 38205
Table_28_Asset_ID 38225
Table_29_Asset_ID 38234
Table_30_Asset_ID 38239
Table_31_Asset_ID 38241
Table_32_Asset_ID 38252
Table_33_Asset_ID 38259
Table_34_Asset_ID 38261
Table_35_Asset_ID 38296
Table_36_Asset_ID 38312
Table_37_Asset_ID 38446
Table_38_Asset_ID 38472
Table_39_Asset_ID 38566
Table_40_Asset_ID 38567
Table_41_Asset_ID 38599
Table_42_Asset_ID 38606
Table_43_Asset_ID 38627
Table_44_Asset_ID 38952
Table_45_Asset_ID 38098
Table_46_Asset_ID 38147
Table_47_Asset_ID 38206
Table_48_Asset_ID 38208
Table_49_Asset_ID 38221
Table_50_Asset_ID 38258
Table_51_Asset_ID 38260
Table_52_Asset_ID 38334
Table_53_Asset_ID 38115
Table_54_Asset_ID 38117
Table_55_Asset_ID 38120
Table_56_Asset_ID 38244
Table_57_Asset_ID 38251
Table_58_Asset_ID 38319
Table_59_Asset_ID 38586
Table_60_Asset_ID 38617
Table_61_Asset_ID 38866
Table_62_Asset_ID 38886
Table_63_Asset_ID 38958
Table_64_Asset_ID 38959
Table_65_Asset_ID 38320
Table_66_Asset_ID 38630
Table_67_Asset_ID 38631
Table_68_Asset_ID 38632
Table_69_Asset_ID 38633
Table_70_Asset_ID 38634
Table_71_Asset_ID 38635
Table_72_Asset_ID 38636
Table_73_Asset_ID 38637
Table_74_Asset_ID 38638
Table_75_Asset_ID 38639
Table_76_Asset_ID 38030
Table_77_Asset_ID 38064
Table_78_Asset_ID 38169
Table_79_Asset_ID 38213
Table_80_Asset_ID 38226
Table_81_Asset_ID 38245
Table_82_Asset_ID 38339
Table_83_Asset_ID 38517
Table_84_Asset_ID 38656
Table_85_Asset_ID 38659
Table_86_Asset_ID 38660
Table_87_Asset_ID 38788
Table_88_Asset_ID 38562
Table_89_Asset_ID 38313
Table_90_Asset_ID 38316
Table_91_Asset_ID 38317
Table_92_Asset_ID 38341
Table_93_Asset_ID 38361
Table_94_Asset_ID 38443
Table_95_Asset_ID 38025
Table_96_Asset_ID 38031
Table_97_Asset_ID 38114
Table_98_Asset_ID 38227
Table_99_Asset_ID 38595
Table_100_Asset_ID 38811
Table_101_Asset_ID 38867
Table_102_Asset_ID 38870
Table_103_Asset_ID 38871
Table_104_Asset_ID 38214
Table_105_Asset_ID 38004
Table_106_Asset_ID 38027
Table_107_Asset_ID 38089
Table_108_Asset_ID 38090
Table_109_Asset_ID 38091
Table_110_Asset_ID 38093
Table_111_Asset_ID 38109
Table_112_Asset_ID 38110
Table_113_Asset_ID 38126
Table_114_Asset_ID 38263
Table_115_Asset_ID 38264
Table_116_Asset_ID 38265
Table_117_Asset_ID 38299
Table_118_Asset_ID 38471
Table_119_Asset_ID 38789
Table_120_Asset_ID 38955

Table_0_Weight 5
Table_1_Weight 5
Table_2_Weight 5
Table_3_Weight 5
Table_4_Weight 5
Table_5_Weight 5
Table_6_Weight 5
Table_7_Weight 5
Table_8_Weight 5
Table_9_Weight 5
Table_10_Weight 5
Table_11_Weight 5
Table_12_Weight 5
Table_13_Weight 5
Table_14_Weight 5
Table_15_Weight 5
Table_16_Weight 5
Table_17_Weight 5
Table_18_Weight 5
Table_19_Weight 5
Table_20_Weight 5
Table_21_Weight 5
Table_22_Weight 5
Table_23_Weight 5
Table_24_Weight 5
Table_25_Weight 5
Table_26_Weight 5
Table_27_Weight 5
Table_28_Weight 5
Table_29_Weight 5
Table_30_Weight 5
Table_31_Weight 5
Table_32_Weight 5
Table_33_Weight 5
Table_34_Weight 5
Table_35_Weight 5
Table_36_Weight 5
Table_37_Weight 5
Table_38_Weight 5
Table_39_Weight 5
Table_40_Weight 5
Table_41_Weight 5
Table_42_Weight 5
Table_43_Weight 5
Table_44_Weight 5
Table_45_Weight 5
Table_46_Weight 5
Table_47_Weight 5
Table_48_Weight 5
Table_49_Weight 5
Table_50_Weight 5
Table_51_Weight 5
Table_52_Weight 5
Table_53_Weight 5
Table_54_Weight 5
Table_55_Weight 5
Table_56_Weight 5
Table_57_Weight 5
Table_58_Weight 5
Table_59_Weight 5
Table_60_Weight 5
Table_61_Weight 5
Table_62_Weight 5
Table_63_Weight 5
Table_64_Weight 5
Table_65_Weight 5
Table_66_Weight 5
Table_67_Weight 5
Table_68_Weight 5
Table_69_Weight 5
Table_70_Weight 5
Table_71_Weight 5
Table_72_Weight 5
Table_73_Weight 5
Table_74_Weight 5
Table_75_Weight 5
Table_76_Weight 5
Table_77_Weight 5
Table_78_Weight 5
Table_79_Weight 5
Table_80_Weight 5
Table_81_Weight 5
Table_82_Weight 5
Table_83_Weight 5
Table_84_Weight 5
Table_85_Weight 5
Table_86_Weight 5
Table_87_Weight 5
Table_88_Weight 5
Table_89_Weight 5
Table_90_Weight 5
Table_91_Weight 5
Table_92_Weight 5
Table_93_Weight 5
Table_94_Weight 5
Table_95_Weight 5
Table_96_Weight 5
Table_97_Weight 5
Table_98_Weight 5
Table_99_Weight 5
Table_100_Weight 5
Table_101_Weight 5
Table_102_Weight 5
Table_103_Weight 5
Table_104_Weight 5
Table_105_Weight 5
Table_106_Weight 5
Table_107_Weight 5
Table_108_Weight 5
Table_109_Weight 5
Table_110_Weight 5
Table_111_Weight 5
Table_112_Weight 5
Table_113_Weight 5
Table_114_Weight 5
Table_115_Weight 5
Table_116_Weight 5
Table_117_Weight 5
Table_118_Weight 5
Table_119_Weight 5
Table_120_Weight 5
