GUID f771a805e9da4667a29f5fe628cc2033
Type Spawn
ID 3863

Roots 1
Root_0_Spawn_ID 4305
Root_0_Weight 300

Tables 57
Table_0_Asset_ID 38216
Table_1_Asset_ID 38563
Table_2_Asset_ID 38839
Table_3_Asset_ID 38518
Table_4_Asset_ID 38493
Table_5_Asset_ID 38455
Table_6_Asset_ID 38311
Table_7_Asset_ID 38641
Table_8_Asset_ID 38642
Table_9_Asset_ID 38321
Table_10_Asset_ID 38322
Table_11_Asset_ID 38440
Table_12_Asset_ID 38307
Table_13_Asset_ID 38643
Table_14_Asset_ID 38442
Table_15_Asset_ID 38624
Table_16_Asset_ID 38444
Table_17_Asset_ID 38445
Table_18_Asset_ID 38315
Table_19_Asset_ID 38318
Table_20_Asset_ID 38372
Table_21_Asset_ID 38616
Table_22_Asset_ID 38374
Table_23_Asset_ID 38379
Table_24_Asset_ID 38503
Table_25_Asset_ID 38494
Table_26_Asset_ID 38338
Table_27_Asset_ID 38686
Table_28_Asset_ID 38335
Table_29_Asset_ID 38688
Table_30_Asset_ID 39063
Table_31_Asset_ID 38670
Table_32_Asset_ID 38538
Table_33_Asset_ID 38019
Table_34_Asset_ID 38232
Table_35_Asset_ID 39068
Table_36_Asset_ID 38476
Table_37_Asset_ID 38364
Table_38_Asset_ID 38383
Table_39_Asset_ID 38384
Table_40_Asset_ID 38385
Table_41_Asset_ID 38367
Table_42_Asset_ID 38368
Table_43_Asset_ID 39031
Table_44_Asset_ID 38255
Table_45_Asset_ID 38392
Table_46_Asset_ID 38706
Table_47_Asset_ID 38850
Table_48_Asset_ID 39037
Table_49_Asset_ID 38371
Table_50_Asset_ID 38373
Table_51_Asset_ID 38377
Table_52_Asset_ID 38378
Table_53_Asset_ID 38511
Table_54_Asset_ID 38380
Table_55_Asset_ID 38381
Table_56_Asset_ID 39030

Table_0_Weight 5
Table_1_Weight 5
Table_2_Weight 5
Table_3_Weight 5
Table_4_Weight 5
Table_5_Weight 5
Table_6_Weight 5
Table_7_Weight 5
Table_8_Weight 5
Table_9_Weight 5
Table_10_Weight 5
Table_11_Weight 5
Table_12_Weight 5
Table_13_Weight 5
Table_14_Weight 5
Table_15_Weight 5
Table_16_Weight 5
Table_17_Weight 5
Table_18_Weight 5
Table_19_Weight 5
Table_20_Weight 5
Table_21_Weight 5
Table_22_Weight 5
Table_23_Weight 5
Table_24_Weight 10
Table_25_Weight 10
Table_26_Weight 10
Table_27_Weight 10
Table_28_Weight 10
Table_29_Weight 10
Table_30_Weight 10
Table_31_Weight 10
Table_32_Weight 10
Table_33_Weight 10
Table_34_Weight 10
Table_35_Weight 10
Table_36_Weight 10
Table_37_Weight 10
Table_38_Weight 10
Table_39_Weight 10
Table_40_Weight 10
Table_41_Weight 10
Table_42_Weight 10
Table_43_Weight 10
Table_44_Weight 10
Table_45_Weight 10
Table_46_Weight 10
Table_47_Weight 10
Table_48_Weight 10
Table_49_Weight 10
Table_50_Weight 10
Table_51_Weight 10
Table_52_Weight 10
Table_53_Weight 10
Table_54_Weight 10
Table_55_Weight 10
Table_56_Weight 15
