GUID 57eb89505782471996d4dbdf91176ea6
Type Spawn
ID 3862

Roots 1
Root_0_Spawn_ID 4303
Root_0_Weight 300

Tables 40
Table_0_Asset_ID 38689
Table_1_Asset_ID 38336
Table_2_Asset_ID 38570
Table_3_Asset_ID 38470
Table_4_Asset_ID 38492
Table_5_Asset_ID 38365
Table_6_Asset_ID 38217
Table_7_Asset_ID 38218
Table_8_Asset_ID 38376
Table_9_Asset_ID 39025
Table_10_Asset_ID 39062
Table_11_Asset_ID 38068
Table_12_Asset_ID 38815
Table_13_Asset_ID 38077
Table_14_Asset_ID 38685
Table_15_Asset_ID 38448
Table_16_Asset_ID 38690
Table_17_Asset_ID 38691
Table_18_Asset_ID 38692
Table_19_Asset_ID 38797
Table_20_Asset_ID 38687
Table_21_Asset_ID 39032
Table_22_Asset_ID 39027
Table_23_Asset_ID 38816
Table_24_Asset_ID 39057
Table_25_Asset_ID 38382
Table_26_Asset_ID 39086
Table_27_Asset_ID 38693
Table_28_Asset_ID 39029
Table_29_Asset_ID 38509
Table_30_Asset_ID 38391
Table_31_Asset_ID 39004
Table_32_Asset_ID 38369
Table_33_Asset_ID 38370
Table_34_Asset_ID 39061
Table_35_Asset_ID 38694
Table_36_Asset_ID 38375
Table_37_Asset_ID 38510
Table_38_Asset_ID 38838
Table_39_Asset_ID 39087

Table_0_Weight 10
Table_1_Weight 10
Table_2_Weight 10
Table_3_Weight 10
Table_4_Weight 10
Table_5_Weight 10
Table_6_Weight 10
Table_7_Weight 10
Table_8_Weight 10
Table_9_Weight 15
Table_10_Weight 15
Table_11_Weight 15
Table_12_Weight 15
Table_13_Weight 15
Table_14_Weight 15
Table_15_Weight 15
Table_16_Weight 15
Table_17_Weight 15
Table_18_Weight 15
Table_19_Weight 15
Table_20_Weight 15
Table_21_Weight 15
Table_22_Weight 15
Table_23_Weight 15
Table_24_Weight 15
Table_25_Weight 15
Table_26_Weight 15
Table_27_Weight 15
Table_28_Weight 15
Table_29_Weight 15
Table_30_Weight 15
Table_31_Weight 15
Table_32_Weight 15
Table_33_Weight 15
Table_34_Weight 15
Table_35_Weight 15
Table_36_Weight 15
Table_37_Weight 15
Table_38_Weight 20
Table_39_Weight 20
