GUID c2f3e23acfac40bfae67b9588bc06cc0
Type Spawn
ID 3864

Roots 1
Root_0_Spawn_ID 4336
Root_0_Weight 300

Tables 42
Table_0_Asset_ID 38018
Table_1_Asset_ID 38097
Table_2_Asset_ID 38118
Table_3_Asset_ID 38134
Table_4_Asset_ID 38240
Table_5_Asset_ID 38199
Table_6_Asset_ID 38253
Table_7_Asset_ID 38826
Table_8_Asset_ID 38951
Table_9_Asset_ID 38069
Table_10_Asset_ID 38211
Table_11_Asset_ID 38333
Table_12_Asset_ID 38345
Table_13_Asset_ID 38568
Table_14_Asset_ID 38149
Table_15_Asset_ID 38159
Table_16_Asset_ID 38174
Table_17_Asset_ID 38176
Table_18_Asset_ID 38177
Table_19_Asset_ID 38179
Table_20_Asset_ID 38180
Table_21_Asset_ID 38181
Table_22_Asset_ID 38327
Table_23_Asset_ID 38330
Table_24_Asset_ID 38507
Table_25_Asset_ID 38853
Table_26_Asset_ID 38858
Table_27_Asset_ID 38883
Table_28_Asset_ID 38040
Table_29_Asset_ID 38044
Table_30_Asset_ID 38050
Table_31_Asset_ID 38143
Table_32_Asset_ID 38153
Table_33_Asset_ID 38344
Table_34_Asset_ID 38362
Table_35_Asset_ID 38393
Table_36_Asset_ID 38496
Table_37_Asset_ID 38006
Table_38_Asset_ID 38008
Table_39_Asset_ID 38505
Table_40_Asset_ID 38821
Table_41_Asset_ID 38828

Table_0_Weight 15
Table_1_Weight 10
Table_2_Weight 15
Table_3_Weight 10
Table_4_Weight 10
Table_5_Weight 10
Table_6_Weight 10
Table_7_Weight 10
Table_8_Weight 10
Table_9_Weight 10
Table_10_Weight 10
Table_11_Weight 10
Table_12_Weight 15
Table_13_Weight 10
Table_14_Weight 15
Table_15_Weight 20
Table_16_Weight 15
Table_17_Weight 15
Table_18_Weight 15
Table_19_Weight 15
Table_20_Weight 20
Table_21_Weight 15
Table_22_Weight 15
Table_23_Weight 10
Table_24_Weight 20
Table_25_Weight 15
Table_26_Weight 15
Table_27_Weight 15
Table_28_Weight 15
Table_29_Weight 20
Table_30_Weight 15
Table_31_Weight 20
Table_32_Weight 15
Table_33_Weight 15
Table_34_Weight 15
Table_35_Weight 20
Table_36_Weight 20
Table_37_Weight 15
Table_38_Weight 15
Table_39_Weight 10
Table_40_Weight 15
Table_41_Weight 15
