GUID 9f9b72661b8248e8952cda6036d9dd44
Type Spawn
ID 3887

Roots 1
Root_0_Spawn_ID 5073
Root_0_Weight 300

Tables 43
Table_0_Asset_ID 38571
Table_1_Asset_ID 38455
Table_2_Asset_ID 38311
Table_3_Asset_ID 38321
Table_4_Asset_ID 38322
Table_5_Asset_ID 38494
Table_6_Asset_ID 38448
Table_7_Asset_ID 38797
Table_8_Asset_ID 38476
Table_9_Asset_ID 38676
Table_10_Asset_ID 38678
Table_11_Asset_ID 39042
Table_12_Asset_ID 38677
Table_13_Asset_ID 38270
Table_14_Asset_ID 38271
Table_15_Asset_ID 38272
Table_16_Asset_ID 38224
Table_17_Asset_ID 38366
Table_18_Asset_ID 38367
Table_19_Asset_ID 38370
Table_20_Asset_ID 38371
Table_21_Asset_ID 38372
Table_22_Asset_ID 38373
Table_23_Asset_ID 38616
Table_24_Asset_ID 38374
Table_25_Asset_ID 38379
Table_26_Asset_ID 38511
Table_27_Asset_ID 38380
Table_28_Asset_ID 38381
Table_29_Asset_ID 38376
Table_30_Asset_ID 38377
Table_31_Asset_ID 38378
Table_32_Asset_ID 38682
Table_33_Asset_ID 38683
Table_34_Asset_ID 39038
Table_35_Asset_ID 39039
Table_36_Asset_ID 39030
Table_37_Asset_ID 39014
Table_38_Asset_ID 39028
Table_39_Asset_ID 39045
Table_40_Asset_ID 39043
Table_41_Asset_ID 39013

Table_0_Weight 15
Table_1_Weight 5
Table_2_Weight 5
Table_3_Weight 5
Table_4_Weight 5
Table_5_Weight 10
Table_6_Weight 15
Table_7_Weight 15
Table_8_Weight 10
Table_9_Weight 15
Table_10_Weight 10
Table_11_Weight 15
Table_12_Weight 10
Table_13_Weight 10
Table_14_Weight 10
Table_15_Weight 10
Table_16_Weight 10
Table_17_Weight 10
Table_18_Weight 10
Table_19_Weight 15
Table_20_Weight 10
Table_21_Weight 5
Table_22_Weight 10
Table_23_Weight 5
Table_24_Weight 5
Table_25_Weight 5
Table_26_Weight 10
Table_27_Weight 10
Table_28_Weight 10
Table_29_Weight 10
Table_30_Weight 10
Table_31_Weight 10
Table_32_Weight 15
Table_33_Weight 15
Table_34_Weight 15
Table_35_Weight 15
Table_36_Weight 15
Table_37_Weight 10
Table_38_Weight 10
Table_39_Weight 5
Table_40_Weight 10
Table_41_Weight 5
