GUID 87eca35dd4594270a5ea04363694ece0
Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 38536

Size_X 4
Size_Y 2
Size_Z 0.45
Size2_Z 0.45

Sight 38716
Magazine 38538

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Ammo_Min 15
Ammo_Max 25

Safety
Semi
Auto

Attachment_Calibers 2
Attachment_Caliber_0 30
Attachment_Caliber_1 747

Magazine_Calibers 2
Magazine_Caliber_0 30
Magazine_Caliber_1 747

Range 90
Firerate 4
Action Trigger

Player_Damage 60
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 60
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 40
Structure_Damage 30
Vehicle_Damage 40
Resource_Damage 30
Object_Damage 35

Durability 0.5

Invulnerable

Spread_Aim 0.25
Spread_Hip 0.2

Recoil_Min_X -1.1
Recoil_Min_Y 1.1
Recoil_Max_X 1.1
Recoil_Max_Y 1.5

Recover_X 0.5
Recover_Y 0.8

Shake_Min_X -0.001
Shake_Min_Y 0.001
Shake_Min_Z -0.005
Shake_Max_X 0.001
Shake_Max_Y -0.001
Shake_Max_Z -0.01

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 38536
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Output_1_ID 61
Blueprint_1_Output_1_Amount 1
Blueprint_1_Build 27
