GUID e65611e144e1445d93ea62d85f9a35e3
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 38221

Size_X 5
Size_Y 2
Size_Z 0.4
Size2_Z 0.6

Sight 5
Magazine 38019

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Ammo_Min 5
Ammo_Max 20

Safety
Semi
Auto

Attachment_Calibers 2
Attachment_Caliber_0 30
Attachment_Caliber_1 732

Magazine_Calibers 2
Magazine_Caliber_0 30
Magazine_Caliber_1 732

Range 250
Firerate 6
Action Trigger

Player_Damage 60
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 60
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 40
Structure_Damage 30
Vehicle_Damage 40
Resource_Damage 30
Object_Damage 35

Durability 0.2

Invulnerable

Spread_Aim 0.035
Spread_Hip 0.125

Recoil_Min_X 0.25
Recoil_Min_Y 4
Recoil_Max_X 0.5
Recoil_Max_Y 5.5

Recover_X 0.4
Recover_Y 0.4

Shake_Min_X -0.0025
Shake_Min_Y 0.0025
Shake_Min_Z -0.02
Shake_Max_X 0.0025
Shake_Max_Y -0.0025
Shake_Max_Z -0.03

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 38221
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
