GUID 9ae2239d2e8c48ca98f8f5bbc94c073e
Type Gun
Rarity Epic
Useable Gun
Slot Secondary
ID 38961

Size_X 2
Size_Y 2
Size_Z 0.35
Size2_Z 0.35

Magazine 38962

Ammo_Min 1
Ammo_Max 5

Safety
Semi

Attachment_Calibers 2
Attachment_Caliber_0 782
Attachment_Caliber_1 777

Magazine_Calibers 2
Magazine_Caliber_0 782
Magazine_Caliber_1 777

Range 100
Firerate 10
Action Trigger

Player_Damage 85
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 130
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 99
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 40
Structure_Damage 35
Vehicle_Damage 55
Resource_Damage 45
Object_Damage 55

Durability 0.1

Spread_Aim 0.05
Spread_Hip 0.2

Recoil_Min_X -10
Recoil_Min_Y 20
Recoil_Max_X -20
Recoil_Max_Y 20

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.01
Shake_Min_Y 0.01
Shake_Min_Z -0.1
Shake_Max_X 0.01
Shake_Max_Y -0.01
Shake_Max_Z -0.15

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 38961
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27
