GUID 675fd0dd945847bfa243e84bc6266b91
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 38562

Size_X 5
Size_Y 2
Size_Z 0.4
Size2_Z 0.6

Sight 38282
Magazine 38563

Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 2
Ammo_Max 4

Safety
Semi

Caliber 748

Range 200
Firerate 4
Action Trigger

Player_Damage 120
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 125
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 120
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 35
Structure_Damage 30
Vehicle_Damage 70
Resource_Damage 50
Object_Damage 60

Durability 0.2

Spread_Aim 0.05
Spread_Hip 0.2

Recoil_Min_X -5
Recoil_Min_Y 15
Recoil_Max_X -10
Recoil_Max_Y 20

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.01
Shake_Min_Y 0.01
Shake_Min_Z -0.1
Shake_Max_X 0.01
Shake_Max_Y -0.01
Shake_Max_Z -0.15

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 38562
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
