GUID c4461ae1dd7f49f6a6d607204bfa1b47
Type Gun
Rarity Mythical
Useable Gun
Slot Primary
ID 38046

Size_X 5
Size_Y 2
Size_Z 0.4
Size2_Z 0.85

Sight 114
Magazine 38162

Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 1
Ammo_Max 10

Safety
Semi
Auto
Bursts 3

Caliber 710

Range 20
Firerate 10
Action Trigger

Player_Damage 40
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.2

Zombie_Damage 40
Zombie_Leg_Multiplier 0.7
Zombie_Arm_Multiplier 0.7
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.2

Animal_Damage 40
Animal_Leg_Multiplier 0.7
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.2

Barricade_Damage 10
Structure_Damage 7
Vehicle_Damage 10
Resource_Damage 10
Object_Damage 12

Durability 0.25

Spread_Aim 0.8
Spread_Hip 0.1

Ballistic_Steps 1
Ballistic_Travel 20

Recoil_Aim 0.625
Recoil_Min_X 1
Recoil_Min_Y 2.5
Recoil_Max_X 3
Recoil_Max_Y 4

Recover_X 0.3
Recover_Y 0.75

Shake_Min_X -0.0025
Shake_Min_Y 0.0025
Shake_Min_Z -0.01
Shake_Max_X 0.0025
Shake_Max_Y -0.0025
Shake_Max_Z -0.015

Muzzle 4

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 38046
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
