GUID 6d2aebefcecb40eda60921d0f5a9b8d5
Type Gun
Rarity Legendary
Useable Gun
Slot Secondary
ID 38214

Size_X 3
Size_Y 2
Size_Z 0.45
Size2_Z 0.45

Sight 1370
Magazine 38218

Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 1
Ammo_Max 8

Safety
Semi

Caliber 720

Range 25
Firerate 4
Action Trigger

Player_Damage 17
Player_Leg_Multiplier 0.725
Player_Arm_Multiplier 0.725
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1

Zombie_Damage 25
Zombie_Leg_Multiplier 0.725
Zombie_Arm_Multiplier 0.725
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1

Animal_Damage 25
Animal_Leg_Multiplier 0.725
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1

Barricade_Damage 7
Structure_Damage 4
Vehicle_Damage 5
Resource_Damage 5
Object_Damage 8

Durability 0.3

Spread_Aim 0.6
Spread_Hip 0.06

Recoil_Min_X -15
Recoil_Min_Y 55
Recoil_Max_X 15
Recoil_Max_Y 65

Recover_X 0.9
Recover_Y 0.9

Shake_Min_X -0.01
Shake_Min_Y 0.01
Shake_Min_Z -0.1
Shake_Max_X 0.01
Shake_Max_Y -0.01
Shake_Max_Z -0.15

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 5
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 38214
Blueprint_1_Product 67
Blueprint_1_Products 3
Blueprint_1_Build 27
