GUID 17845db082944352b1e0ea0bcdb62e8b
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 38263

Size_X 4
Size_Y 2
Size_Z 0.45
Size2_Z 0.85

Sight 38196
Magazine 39002

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Ammo_Min 1
Ammo_Max 8

Safety
Semi

Attachment_Calibers 4
Attachment_Caliber_0 2
Attachment_Caliber_1 7
Attachment_Caliber_2 22
Attachment_Caliber_3 741

Magazine_Calibers 4
Magazine_Caliber_0 2
Magazine_Caliber_1 7
Magazine_Caliber_2 22
Magazine_Caliber_3 741

Range 200
Firerate 50
Action Bolt

Player_Damage 80
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 99
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 20
Structure_Damage 15
Vehicle_Damage 30
Resource_Damage 20
Object_Damage 25

Durability 0.3

Spread_Aim 0.01
Spread_Hip 0.25

Recoil_Aim 0.5
Recoil_Min_X 3
Recoil_Min_Y 15
Recoil_Max_X 4
Recoil_Max_Y 20

Recover_X 0.6
Recover_Y 0.6

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 38263
Blueprint_1_Outputs 2
Blueprint_1_Output_0_ID 67
Blueprint_1_Output_0_Amount 1
Blueprint_1_Output_1_ID 61
Blueprint_1_Output_1_Amount 1
Blueprint_1_Build 27
