GUID 9552d5eafd184ba8bdd5f34897b28fb5
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 38301

Size_X 4
Size_Y 2
Size_Z 0.35
Size2_Z 0.5

Sight 38304
Magazine 38162
Grip 38278
Tactical 38888

Ammo_Min 5
Ammo_Max 10

Safety
Semi
Auto

Attachment_Calibers 2
Attachment_Caliber_0 710
Attachment_Caliber_1 42

Magazine_Calibers 3
Magazine_Caliber_0 710
Magazine_Caliber_1 42

Range 25
Firerate 8
Action Trigger

Player_Damage 55
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.2

Zombie_Damage 55
Zombie_Leg_Multiplier 0.7
Zombie_Arm_Multiplier 0.7
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.2

Animal_Damage 55
Animal_Leg_Multiplier 0.7
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.2

Barricade_Damage 12
Structure_Damage 14
Vehicle_Damage 12
Resource_Damage 12
Object_Damage 15

Durability 0.15

Spread_Aim 0.775
Spread_Hip 0.125

Ballistic_Steps 1
Ballistic_Travel 17.5

Recoil_Min_X -1
Recoil_Min_Y 2
Recoil_Max_X 1
Recoil_Max_Y 3

Recover_X 0.1
Recover_Y 0.1

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4
Shell 33

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Level 1
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 38301
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27
